Time,X,Y,Z,rx,ry,rz,Ux,Uy,Uz
6.371860266,-0.032,-0.006,0.599,-0.5961367211202591,-0.39431774903118016,0.55,-1.4071703579155397,-1.1620392607630956,0.3000050010652327,
6.391649008,-0.026,-0.006,0.598,-0.5928415809659803,-0.4016351292028568,0.55,-1.415613822404778,-1.1778556568905094,0.3000052999940694,
6.411557436,-0.022,-0.006,0.598,-0.5893847767784381,-0.40823538315822766,0.598,-1.416613220119238,-1.184708351862973,0.3000286632953237,
6.431517124,-0.017,-0.006,0.597,-0.585219575016047,-0.4143881444801434,0.598,-1.4051353487107618,-1.1801067557150997,0.3000296141701626,
6.451466322,-0.013,-0.006,0.597,-0.5815493932261532,-0.4210798735870598,0.598,-1.4054369415025896,-1.1928345290713538,0.30002951256937144,
6.471545696,-0.002,-0.007,0.594,-0.5779322525204568,-0.42793641184511405,0.597,-1.42932946410898,-1.2023103732401283,0.30003579681021986,
6.491562605,0.002,-0.007,0.594,-0.5738387561956173,-0.43467911164641854,0.594,-1.4198340673348118,-1.2174086481692419,0.3000294486963735,
6.511747837,0.005,-0.009,0.595,-0.5698487867407596,-0.44113328160839455,0.594,-1.415668504936571,-1.2241490403585116,0.30002745193824026,
6.531587362,0.008,-0.011,0.595,-0.5659848060110634,-0.4474477484990762,0.595,-1.4121493378187489,-1.2325896461935435,0.3000285351871024,
6.551490545,0.009,-0.013,0.596,-0.5619091463133734,-0.4551639575049802,0.595,-1.4046173472073185,-1.2672114305940616,0.30002564359630285,
6.571486711,0.009,-0.017,0.597,-0.5577863585425517,-0.4616936536412203,0.595,-1.391158762362464,-1.270568131506543,0.3000238497916465,
6.591451645,0.008,-0.021,0.598,-0.5535704834217076,-0.4692191474950833,0.597,-1.372951518313104,-1.2958151202737365,0.30002497980309056,
6.617269039,0.006,-0.027,0.599,-0.549758317013941,-0.4758340131494282,0.598,-1.3807106988551436,-1.2676466561421564,0.300024968632564,
6.6316576000000005,0.004,-0.034,0.6,-0.5469617529291202,-0.48028619681786244,0.598,-1.3665066967121917,-1.2582441308446919,0.3000236121741981,
6.651488304,0.0,-0.042,0.601,-0.5419128602691075,-0.48702679202794935,0.6,-1.3260547535461549,-1.2591683716681077,0.30002449797749026,
6.671431303,-0.004,-0.051,0.602,-0.5371134547083974,-0.49287040920437203,0.601,-1.2899641435549982,-1.2391045405988257,0.30002385806287885,
6.691542864,-0.011,-0.061,0.603,-0.532696308029035,-0.498902573226034,0.601,-1.2545088171178718,-1.2247712395373138,0.3000217890922852,
6.71143794,-0.018,-0.071,0.603,-0.5274690639101636,-0.5053840677844319,0.603,-1.2022634189786268,-1.216904273912622,0.30002343938425613,
6.73148179,-0.027,-0.084,0.602,-0.5227011945525877,-0.5113489578678938,0.603,-1.1587780665430842,-1.1946980624638421,0.3000244104670243,
6.751507282,-0.038,-0.097,0.602,-0.5168970150272046,-0.519173749110749,0.603,-1.0929842868824438,-1.2028678609242422,0.30002477074935524,
6.771467686,-0.049,-0.112,0.601,-0.5123785395111473,-0.5244154112008896,0.602,-1.047922175848574,-1.1624231175062987,0.3000239740720027,
6.791454315,-0.062,-0.128,0.599,-0.5079232167167448,-0.5287603442563714,0.601,-1.0022710088757723,-1.1054550548235909,0.30002467287411416,
6.811442852,-0.075,-0.147,0.599,-0.5028220724846133,-0.5342834093446425,0.601,-0.9455807032441664,-1.0655821300363357,0.30002411400362294,
6.831467152,-0.091,-0.165,0.598,-0.49847481002476385,-0.5397089575010426,0.599,-0.8934940450568531,-1.032566773161114,0.30002308959472757,
6.851498127,-0.107,-0.184,0.597,-0.49363896134597735,-0.544594295062052,0.598,-0.8389313100585584,-0.9789132662145347,0.3000234985310585,
6.87150526,-0.12,-0.202,0.595,-0.4886453524927873,-0.5496979560996081,0.598,-0.783988783700458,-0.9401461377715322,0.3000268993693548,
6.891567469,-0.137,-0.222,0.594,-0.4843878727041777,-0.5550227091265437,0.595,-0.741487618083648,-0.8880444629255577,0.30002447707921903,
6.911494017,-0.155,-0.243,0.593,-0.4786523784290668,-0.5624999342733736,0.594,-0.6468028157003554,-0.8927434847425123,0.3000251148759289,
6.9314508440000004,-0.174,-0.265,0.593,-0.473553968212084,-0.5679819304678716,0.594,-0.5731492234292427,-0.8465134229161587,0.3000253658697562,
6.951454401,-0.193,-0.287,0.593,-0.4679804869124883,-0.5750773643188105,0.593,-0.4923308321818233,-0.8286881114966942,0.30002436557449996,
6.97166872,-0.214,-0.312,0.594,-0.46228198762585054,-0.5820891220357688,0.593,-0.4016474599196879,-0.808002859977299,0.3000232722822017,
6.991552114,-0.233,-0.333,0.594,-0.4568088258776108,-0.5884264860551174,0.593,-0.3259943112293517,-0.7701144758061744,0.3000234899680241,
7.011578083,-0.255,-0.357,0.594,-0.45162684526415875,-0.5935853998116186,0.594,-0.24355702512502864,-0.7147891811908006,0.3000249869894848,
7.031560898,-0.277,-0.382,0.595,-0.4450510315753501,-0.599688545789641,0.594,-0.14519588858153662,-0.6544481406221629,0.3000236204493101,
7.051532507,-0.299,-0.407,0.596,-0.439167885012687,-0.6059313531804309,0.594,-0.05868348992409894,-0.6046835238409758,0.30002235770361935,
7.071512222,-0.316,-0.424,0.594,-0.43242759624426197,-0.6102008754092493,0.596,0.027317037078136337,-0.5378795574994273,0.3000002838767864,
7.096828461,-0.33,-0.446,0.599,-0.42605744162131937,-0.6149129173891285,0.594,0.06914472946707753,-0.4504558902042291,0.30000018415139384,
7.111539841,-0.346,-0.467,0.602,-0.42163871294619304,-0.6185640779217536,0.594,0.1320223798686237,-0.4011396484286963,0.3000001537599882,
7.131483555,-0.361,-0.488,0.605,-0.41387881736721877,-0.6239084492747506,0.602,0.22698717435084131,-0.352052441323527,0.30000020143651657,
7.151435375,-0.376,-0.509,0.608,-0.4071048385023566,-0.6303812543170889,0.605,0.29762774483904836,-0.3321291451428227,0.3000001996185514,
7.171434641,-0.389,-0.529,0.611,-0.40034342581727106,-0.6354722278258165,0.605,0.3600291631809436,-0.2891730043201514,0.3000166308729947,
7.191452265,-0.404,-0.548,0.615,-0.3925545744626034,-0.6412046467247479,0.611,0.44682197421023834,-0.26524163725722405,0.3000182904009796,
7.211493969,-0.416,-0.568,0.615,-0.3855105179582664,-0.6473394975236244,0.615,0.5057126770932766,-0.2425284692088619,0.30002308351180035,
7.232341051,-0.427,-0.585,0.618,-0.37781107672314457,-0.6530418153625842,0.615,0.5656516199404782,-0.21118408444697256,0.3000194004599601,
7.251467943,-0.438,-0.601,0.622,-0.37162604386114595,-0.6578330466031187,0.618,0.6057271065020962,-0.17862102878515979,0.30001813188167614,
7.271467686,-0.447,-0.617,0.625,-0.36464526146149456,-0.663547586036186,0.622,0.6466733749074434,-0.1551050533101466,0.3000191130195523,
7.291434049,-0.45,-0.635,0.622,-0.3572795803402955,-0.6690404326218825,0.622,0.6793619906063304,-0.12092475084617352,0.3000233922437909,
7.311429977,-0.456,-0.648,0.624,-0.3496369840810605,-0.6748477284586335,0.622,0.730201603697295,-0.11199471010515392,0.30002110822923483,
7.33151555,-0.462,-0.661,0.626,-0.34254652715246975,-0.6797381516343587,0.624,0.7561073392150874,-0.07055537671032824,0.3000210584749999,
7.35148859,-0.46,-0.677,0.622,-0.3349845284357702,-0.6851219115002972,0.624,0.7735311393887709,-0.0408535659977306,0.30002713807538517,
7.371537924,-0.459,-0.69,0.62,-0.3251028419889647,-0.6915301454410817,0.622,0.8225817278532949,-0.027907917035768542,0.30002796986851743,
7.391605139,-0.459,-0.703,0.617,-0.31879048453986575,-0.6965314210813679,0.62,0.8272796042776202,-0.007323388472363139,0.30003033789010086,
7.411538601,-0.458,-0.712,0.617,-0.31085942213585716,-0.7020219209889516,0.62,0.8491777930605763,0.0029365334113178867,0.3000305982922077,
7.431501388,-0.455,-0.723,0.614,-0.30421101241803855,-0.7060891592292617,0.617,0.8384846067297046,0.03847579562164966,0.30003136760887816,
7.4514703749999995,-0.451,-0.733,0.612,-0.2972314290909141,-0.7105469932203278,0.614,0.8346893971492496,0.07204684597001766,0.30003034207452667,
7.471609831,-0.447,-0.741,0.61,-0.28957746454864053,-0.7154473683608048,0.614,0.8444225113972562,0.08326954536175561,0.30003429479760424,
7.491486311,-0.44,-0.748,0.608,-0.28226044936292594,-0.7160107851469721,0.61,0.8329281918768188,0.15992581474713466,0.30003137460490137,
7.511577844,-0.434,-0.755,0.607,-0.2742681191392322,-0.7187376677043995,0.608,0.837256100132142,0.2036793508706029,0.30003010756270926,
7.531434059,-0.426,-0.761,0.606,-0.2667690485727047,-0.7217170634171174,0.608,0.8333525068647234,0.21969020977692874,0.30003200099682864,
7.551428318,-0.417,-0.766,0.604,-0.2582243176651117,-0.725525017544659,0.606,0.8433086108811226,0.22203263989456104,0.30003259562400203,
7.571686506,-0.407,-0.77,0.603,-0.24964623800916194,-0.7305286329971399,0.604,0.8508980943320653,0.1979392698747174,0.30003133140265736,
7.591508627,-0.395,-0.774,0.601,-0.24164388822240015,-0.7335709467902282,0.604,0.8378816700171434,0.20628116618438308,0.3000351934925643,
7.611484527,-0.383,-0.777,0.6,-0.23322632210007976,-0.7385896734866442,0.601,0.8376272262006357,0.17329680791729352,0.3000321114632133,
7.631434202,-0.371,-0.779,0.599,-0.22409316427103224,-0.7438717622012665,0.6,0.855096400934091,0.12576724336472958,0.3000325239102118,
7.651432991,-0.357,-0.781,0.598,-0.21524384518727752,-0.7478862108862488,0.6,0.8411302550459322,0.12125000257824053,0.3000344466677456,
7.671428919,-0.343,-0.783,0.597,-0.208130614705252,-0.7516060707866861,0.598,0.7794209180355953,0.11756076527843186,0.30003270830955825,
7.691558599,-0.327,-0.783,0.597,-0.2162466086734536,-0.7482364710958854,0.597,0.44389994652780906,0.22700098493203757,0.30000029742842194,
7.711635589,-0.312,-0.783,0.597,-0.2123888698501172,-0.7502618190468872,0.597,0.3935965985924387,0.22815430181149024,0.30000029709351045,
7.731501818,-0.296,-0.784,0.597,-0.21398288707478638,-0.7487470992521083,0.597,0.21947240165823015,0.2944419966906029,0.30000029577287135,
7.751442432,-0.28,-0.783,0.596,-0.20792243845052288,-0.7486014978667822,0.597,0.2093651524326837,0.3444690177292267,0.3000003138586335,
7.771562815,-0.264,-0.781,0.596,-0.20641915720706325,-0.7482330762403774,0.597,0.14431378251956706,0.3531151101928597,0.3000003134473497,
7.791438579,-0.248,-0.78,0.597,-0.19612274307879332,-0.753051385207379,0.596,0.22660233160032173,0.28487227525501857,0.30000027972130344,
7.831511259,-0.214,-0.775,0.597,-0.1805795394216081,-0.7582228066564038,0.597,0.2963686475844484,0.20933917793461373,0.1471560305123618,
7.851506948,-0.198,-0.772,0.598,-0.16696213031197277,-0.764235162729733,0.5469999999999999,0.45198818974400323,0.10371221420221952,0.14530785232381863,
7.871473789,-0.229,-0.762,0.618,-0.15538811772348377,-0.7690732442419104,0.5479999999999999,0.7182248697563063,-2.2032054717854309e-07,0.1445258329938401,
7.891602516,-0.223,-0.758,0.62,-0.14570870253961873,-0.7725432078325841,0.5479999999999999,0.7440413841988867,-0.02460000611837225,0.1444440148490258,
7.911518812,-0.215,-0.755,0.623,-0.13395498099716782,-0.7770427887322104,0.62,0.8405246979895352,-0.08414578569375554,0.1469237549821145,
7.9321601390000005,-0.206,-0.752,0.625,-0.1282756662999637,-0.7783882133171081,0.573,0.7571161732277165,-0.062409661600601685,0.1451431035280075,
7.951502323,-0.199,-0.748,0.627,-0.11790108882608175,-0.7820863164908031,0.573,0.7807435191957669,-0.08755326146639822,0.14506128537871377,
7.971483707,-0.19,-0.745,0.628,-0.1179054555976276,-0.7813936437296299,0.577,0.5217188545794059,-0.0046738376953327256,0.14516493927710938,
7.991463661,-0.182,-0.741,0.629,-0.11058642649405236,-0.7836217542134755,0.578,0.508653242112818,-0.011499445698776669,0.14516017550806645,
8.011461973,-0.174,-0.738,0.63,-0.10300836461710591,-0.7859510767638827,0.578,0.5044754121955738,-0.023685943519131367,0.14511926635855255,
8.031431436,-0.173,-0.735,0.634,-0.09508665275593756,-0.787652081876678,0.58,0.5271042917851773,-0.021712965169372014,0.14502792052424054,
8.051425218,-0.166,-0.731,0.635,-0.08716829517105805,-0.7890687976461411,0.584,0.5250102028283318,-0.02807072849141033,0.1451315928984082,
8.071471691,-0.16,-0.727,0.636,-0.07951674416291825,-0.7908839122283492,0.584,0.5271199688290061,-0.040507527601513146,0.1450906837490385,
8.091469049,-0.156,-0.725,0.635,-0.06856213676960367,-0.7927298650399943,0.636,0.587305814651966,-0.04165879175433691,0.14701115270874832,
8.111445665,-0.151,-0.724,0.635,-0.06114822028350523,-0.7945938592368124,0.635,0.5938667388872717,-0.05541591180024894,0.14697500732804922,
8.131429195,-0.145,-0.721,0.634,-0.05276459641578769,-0.7962052394337832,0.635,0.6007738945901906,-0.06488436524950947,0.14701591647728884,
8.151423454,-0.139,-0.718,0.633,-0.04242365502279074,-0.7981426283825097,0.634,0.645490916045259,-0.08115190336373675,0.14702068024766404,
8.171422243,-0.135,-0.718,0.631,-0.03609585567017963,-0.7996440600284923,0.633,0.6242529803194312,-0.08434455001863851,0.1470663531640654,
8.191679716,-0.129,-0.716,0.629,-0.0273542872632106,-0.8011779950156661,0.633,0.6326512289947916,-0.09147132672680913,0.14714817146276932,
8.211559296,-0.123,-0.715,0.626,-0.021227853050879243,-0.8027744189096906,0.629,0.5799249114709193,-0.09321094508831403,0.14712631738425136,
8.23148179,-0.117,-0.714,0.623,-0.013873832323044635,-0.8044512728348271,0.626,0.5621328432458967,-0.10616523788226609,0.14714060868842885,
8.251498699,-0.112,-0.716,0.62,-0.006249042635323422,-0.8058787001775854,0.626,0.5654397630580003,-0.10272873249318634,0.14726333613629994,
8.271436453,-0.107,-0.717,0.616,0.00467290273669833,-0.8072982275510108,0.62,0.6218284662486725,-0.10568498698447643,0.1472101004498628,
8.291432857,-0.101,-0.718,0.613,0.011433042095027178,-0.807771804518865,0.616,0.6002325328462679,-0.08834292129620501,0.147188246372637,
8.311514616,-0.095,-0.718,0.61,0.019382596723425186,-0.8088386931463063,0.616,0.6025934109160853,-0.0886951288731067,0.1473109738203663,
8.331489324,-0.088,-0.719,0.608,0.02753890731546435,-0.8088119057774856,0.61,0.6103550585173879,-0.06619148711011393,0.14717591983351383,
8.35150218,-0.081,-0.721,0.606,0.0366094941127835,-0.8092750668073366,0.608,0.6429993044690978,-0.05771220473534793,0.14718544737185194,
8.371472597,-0.074,-0.722,0.604,0.045036343257535597,-0.8097322207084499,0.608,0.6463116299819056,-0.05273393685642089,0.14726726567050213,
8.391570091,-0.067,-0.724,0.602,0.05714379659191444,-0.8099798173963814,0.604,0.7011549768323013,-0.0387696976903002,0.14720451982394153,
8.411514759,-0.059,-0.726,0.601,0.06878605796292145,-0.8113859507425696,0.602,0.7686799090997712,-0.05125228163748894,0.14717313865199536,
8.43149519,-0.051,-0.728,0.6,0.0791303152454058,-0.8117498457927395,0.602,0.7803713624569691,-0.04406183439363473,0.14721404788772197,
8.451476812,-0.043,-0.73,0.599,0.08767436285099656,-0.8129670137887884,0.6,0.7501568630530824,-0.05217436530353749,0.14718266611989234,
8.471463203,-0.034,-0.733,0.599,0.09707152311339372,-0.8141434981986878,0.599,0.7504534519652637,-0.06242983076587389,0.14714652078731735,
8.491433859,-0.05,-0.727,0.609,0.10732874441337403,-0.8148165652014745,0.599,0.8330194258720273,-0.07932314633998926,0.14673742986131924,
8.511442423,-0.043,-0.729,0.61,0.11310666586355797,-0.81494806439828,0.609,0.7684919679716351,-0.07048067008308119,0.14705797403265047,
8.531404495,-0.035,-0.731,0.61,0.12072034502968873,-0.8153363950836007,0.61,0.7365541195636393,-0.06470309111307439,0.14709411922785012,
8.551561117,-0.027,-0.734,0.61,0.12976716763865873,-0.815840013381383,0.61,0.7365867550919208,-0.057131560802771826,0.14709411925529858,
8.57152605,-0.019,-0.736,0.61,0.1365134420334354,-0.8162054726805985,0.61,0.6645245487357107,-0.04775690614347463,0.14709410153965718,
8.591487646000001,-0.01,-0.739,0.609,0.1499938124516769,-0.8168301467949556,0.61,0.7459116909108018,-0.04116454122703121,0.14713502849946114,
8.611464739,-0.001,-0.742,0.608,0.1591893551047164,-0.8172032076340726,0.61,0.7430632805036088,-0.032969111046936235,0.14717593765192144,
8.631441116,0.007,-0.744,0.607,0.16882010852891324,-0.8172731832702306,0.608,0.7597148796052263,-0.022095336398282563,0.147144556166271,
8.651431322,0.017,-0.747,0.605,0.18304738110112315,-0.8172167934294639,0.607,0.8737369135303253,-0.009112751142635257,0.14719022991613367,
8.671504021,0.026,-0.749,0.604,0.19424093959760932,-0.8173161237548049,0.607,0.8847050914301848,-0.0023933307709132668,0.14723113916814087,
8.691626072,0.042,-0.753,0.602,0.20608369686273284,-0.817281439815713,0.604,0.8962311986488493,0.007843629165459411,0.14720452147110916,
8.711483955,0.052,-0.756,0.6,0.2126390823888028,-0.8170533076823607,0.602,0.814814472382495,0.022377968339201575,0.14721404839909327,
8.731475592,0.065,-0.76,0.601,0.2234496093695284,-0.8169407231982774,0.602,0.8092845149529231,0.03503566463122263,0.14717313925486247,
8.751430273,0.071,-0.762,0.6,0.23127597008028367,-0.8167274377527657,0.601,0.7634367834599821,0.04520928594113401,0.1471779027306007,
8.7714324,0.083,-0.765,0.599,0.23951748370592296,-0.812558278075393,0.6,0.6901294683387098,0.12628089057312095,0.14718266603899374,
8.791790247,0.1,-0.77,0.596,0.2489880716283269,-0.8110484843064407,0.6,0.6607453005229574,0.1492311982947824,0.14730537582125633,
8.811481476,0.106,-0.771,0.595,0.258470593814362,-0.8085347709754224,0.596,0.6593047522835694,0.1804857088872208,0.14720172097493042,
8.83142662,0.124,-0.775,0.593,0.2695569569752587,-0.8074729920209172,0.595,0.6600249522575434,0.18938800140028192,0.14724739392961145,
8.851609945,0.13,-0.776,0.592,0.27913487791563824,-0.8052984883609,0.595,0.6657910438132312,0.20381524515527488,0.14728830310656038,
8.871527195,0.148,-0.78,0.589,0.29186961928786365,-0.805261792052506,0.592,0.7116338073465982,0.19144333679973038,0.1473025947275731,
8.891655683,0.154,-0.781,0.588,0.29802467790177983,-0.79932015120699,0.589,0.6354313535414099,0.2694666472264585,0.14723506728597868,
8.911546469,0.173,-0.786,0.585,0.3072374322199021,-0.7961125448679354,0.589,0.6000236097693438,0.2986869371504607,0.14735779456557369,
8.931475401,0.186,-0.789,0.583,0.31660250747540464,-0.7928950870465574,0.585,0.6061030824406445,0.32175998233125663,0.14729503140540023,
8.951561689,0.199,-0.791,0.581,0.3249428585395563,-0.7909581702562353,0.583,0.5599179679179903,0.3125722979448266,0.14730454157986142,
8.971434831,0.199,-0.791,0.581,0.333859626800091,-0.7875093913022694,0.583,0.5817208757087261,0.3273594896119176,0.14730455885184196,
8.99151206,0.219,-0.794,0.578,0.33882562262640753,-0.7872702436224983,0.581,0.44895145755365085,0.29179743935789787,0.14735497826185043,
9.018333673,0.226,-0.795,0.577,0.34632678928673905,-0.7864168594941023,0.578,0.3961346164199002,0.2523712464656487,0.14728745126639572,
9.031522274,0.245,-0.798,0.575,0.3506140367158598,-0.7849997998027096,0.578,0.3425654308275627,0.2638900539394143,0.14736926956270216,
9.051483869,0.252,-0.799,0.574,0.3585668409253055,-0.7843640312123878,0.575,0.34924565026828136,0.25282731830511695,0.1473017425695694,
9.071418524,0.265,-0.801,0.572,0.3719761479905085,-0.782628267895427,0.574,0.4534137106013412,0.23975988274747204,0.1473474154917562,
9.091433763,0.278,-0.802,0.571,0.37998138999940845,-0.7811397274954682,0.574,0.4329368247579598,0.24350229505628324,0.1473883246402381,
9.111402035,0.291,-0.803,0.569,0.39008173476308716,-0.7799413353432388,0.571,0.4715996392258856,0.22831875673861335,0.14736170679760924,
9.13414979,0.31,-0.803,0.567,0.40164522439919415,-0.7762504591994247,0.569,0.48995486231742097,0.2673680355497935,0.14737123433469337,
9.1515131,0.317,-0.804,0.566,0.409831442943019,-0.7748874911628654,0.569,0.4946228996218156,0.271699415941908,0.14741214348415618,
9.171491146,0.33,-0.803,0.563,0.41807674136870643,-0.7700182178208792,0.5159999999999999,0.4599487520094043,0.3530032128214514,0.14561916574048717,
9.191416979,0.342,-0.803,0.561,0.4276863370789978,-0.767078306140221,0.5129999999999999,0.47599578602913656,0.36904673565839613,0.14559254789667547,
9.211490154,0.36,-0.801,0.555,0.4374497556626166,-0.7641184784492728,0.5129999999999999,0.4523803379096408,0.3746482926091835,0.14583800279073467,
9.231445789,0.366,-0.801,0.554,0.4464909715577161,-0.7611806288771955,0.505,0.4554478136259251,0.38789500424416384,0.14558974889255022,
9.251476765,0.384,-0.798,0.549,0.45405765733530246,-0.7589740993307474,0.504,0.36797889105193593,0.37206657962247736,0.14575814925377115,
9.271501303,0.395,-0.797,0.546,0.46315248148211474,-0.7559449552686532,0.504,0.3594975180788911,0.379602489486068,0.14588087670089073,
9.291592598,0.407,-0.794,0.543,0.47503844047399,-0.7528241571287896,0.49600000000000005,0.3743703942818724,0.3770221678842673,0.14571444110147463,
9.311433792,0.417,-0.792,0.54,0.48269102654896784,-0.7507044072028792,0.49300000000000005,0.35437944045548336,0.3619128523221067,0.14572873240532497,
9.331462383,0.427,-0.789,0.537,0.4919989479231067,-0.7478080285050127,0.49300000000000005,0.3499104538732569,0.36223379295699765,0.145851459852488,
9.351403475,0.437,-0.786,0.534,0.5039430537323768,-0.7437326819809332,0.48700000000000004,0.4115071008662306,0.3845906951458025,0.14575731501679381,
9.371470928,0.446,-0.783,0.531,0.5119967485384976,-0.7404012829235797,0.48400000000000004,0.35764815677005746,0.3820467002773672,0.14577160631904656,
9.391578674,0.455,-0.78,0.528,0.521641324111727,-0.7370502429657805,0.48400000000000004,0.3575109938105271,0.3843019858936496,0.14589433376638855,
9.411507606,0.464,-0.776,0.525,0.5287049781978738,-0.7341848249909857,0.528,0.3129129241723753,0.3785558108258,0.14760745797286617,
