Time,X,Y,Z,rx,ry,rz,Ux,Uy,Uz
6.256808281,0.006,-0.012,0.578,1.1840750864285483,0.9870669408635869,0.55,1.499999997027554,1.4999999942174254,0.30012563385940616,
6.276329279,0.005,-0.009,0.58,1.1818616137057982,0.9898361824946634,0.578,1.4999999946275613,1.4999999900859178,0.3002443959650346,
6.296281814,0.005,-0.006,0.583,1.1804039964812225,0.9909917287445307,0.578,1.4999999950010534,1.4999999907162755,0.3002234498954673,
6.316211223,0.004,-0.003,0.585,1.1792177379261195,0.9916587994903457,0.583,1.4999999947001599,1.4999999899546064,0.3002406549211985,
6.336193084,0.004,0.0,0.588,1.1767492279333098,0.9945404953334366,0.585,1.4999999948841163,1.4999999907863408,0.30022750055177877,
6.356182813,0.004,0.001,0.59,1.1750188361173035,0.9959084256868073,0.585,1.4999999951350373,1.4999999912645658,0.30021361495705245,
6.376172304,0.004,0.003,0.592,1.1730024644160428,0.9978918142306161,0.59,1.4999999948506024,1.4999999908944648,0.30022799030182656,
6.396177053,0.016,0.012,0.598,1.1704026007051307,1.001055715185935,0.592,1.4999999954629524,1.49999999239547,0.300191146369955,
6.416175603,0.018,0.019,0.606,1.1682444133960161,1.0030913791517806,0.592,1.4999999963800061,1.4999999939151127,0.30014712716999303,
6.436355114,0.021,0.025,0.612,1.1662388123499081,1.0062171477962065,0.606,1.4999999957143255,1.4999999929217365,0.3001769169846011,
6.456176519,0.025,0.032,0.617,1.163435391706875,1.0102593962706037,0.612,1.4999999957477725,1.4999999932636277,0.300173217714688,
6.476173639,0.029,0.039,0.62,1.1609468390389892,1.0132586330886728,0.612,1.4999999961394992,1.4999999939319124,0.3001539685134835,
6.496171236,0.035,0.047,0.622,1.1590718359699006,1.0165218605620496,0.62,1.499999995597707,1.49999999315836,0.3001776527187105,
6.516174793,0.042,0.055,0.623,1.1556278725702038,1.0202616707881644,0.622,1.4999999956350347,1.499999993440162,0.3001727820899732,
6.536171198,0.049,0.065,0.624,1.1528175361275363,1.0239658509718914,0.622,1.4999999958533332,1.4999999938376531,0.30016098647935857,
6.556188821,0.057,0.074,0.622,1.1506017370788872,1.026345679764266,0.624,1.4999999954760883,1.4999999931976578,0.3001762356563246,
6.576185464,0.065,0.084,0.619,1.1473548562844724,1.0292547761463564,0.622,1.4999999954544507,1.4999999931076924,0.3001747513772418,
6.5961818690000005,0.075,0.095,0.616,1.1443565586663926,1.0327554506102639,0.622,1.499999995220507,1.49999999284748,0.3001826082300202,
6.616179943,0.085,0.107,0.613,1.1423515270794313,1.0357772152666513,0.616,1.4999999956341785,1.499999993405893,0.3001627689250321,
6.636182308,0.096,0.121,0.609,1.1391878144225196,1.0389559158299835,0.613,1.4999999956610257,1.4999999933725234,0.30015907505715345,
6.656182289,0.109,0.135,0.605,1.1361619431782257,1.0423736028721224,0.613,1.4999999953679997,1.4999999929950747,0.30016874443461994,
6.676178693,0.122,0.15,0.601,1.135211006030593,1.041759981775134,0.605,1.4999999958510761,1.4999999929924197,0.3001479003745289,
6.696184873,0.137,0.167,0.596,1.1331593470259915,1.0436680071838735,0.601,1.4999999958536097,1.4999999926203058,0.3001460237720313,
6.7161834240000005,0.152,0.184,0.592,1.1308007120118617,1.0458048567802465,0.601,1.4999999956085597,1.4999999920355132,0.3001534580692521,
6.73625493,0.171,0.198,0.583,1.1292522736831323,1.048897789919524,0.592,1.4999999957774344,1.4999999924514098,0.30014440724629526,
6.756192922,0.188,0.216,0.575,1.1275164547853302,1.0512903438133696,0.583,1.499999996061736,1.4999999926719902,0.30013162602960264,
6.776186227,0.206,0.236,0.568,1.1256805349840207,1.05337633362241,0.583,1.4999999954721992,1.4999999912809359,0.3001523452012699,
6.796180963,0.226,0.257,0.563,1.1229109731326508,1.0555245457108744,0.568,1.4999999972417974,1.4999999946791087,0.3000846430309612,
6.8161880969999995,0.247,0.279,0.558,1.1213089825781148,1.057593125034698,0.563,1.4999999972130107,1.4999999942940867,0.30008087405055267,
6.836180687,0.269,0.302,0.554,1.119525587858108,1.0595207202805563,0.563,1.4999999966658486,1.4999999927299668,0.30009045090025877,
6.85618329,0.282,0.326,0.557,1.117541703678915,1.06163720154962,0.554,1.49999999798556,1.4999999952284833,0.3000498911910878,
6.876181602,0.303,0.351,0.557,1.1162535367741666,1.0644634448839292,0.557,1.4999999982766583,1.4999999955887575,0.30004188837093426,
6.896235227,0.325,0.376,0.557,1.1146723511455605,1.066663624286299,0.557,1.4999999979506555,1.4999999938121127,0.30004346940167287,
6.916354656,0.347,0.401,0.558,1.1128644751830872,1.0693460841830862,0.557,1.4999999977348726,1.4999999918944122,0.3000405483781383,
6.936202049,0.37,0.426,0.559,1.1116786380642867,1.0699172901762024,0.558,1.4999999979002736,1.499999107113148,0.300044522602607,
6.956181526,0.393,0.452,0.559,1.1103563394189215,1.0715635176178124,0.558,1.4999999965906283,1.4559808718933274,0.30004608046929443,
6.976186752,0.419,0.479,0.558,1.1082941249702882,1.0734047871401504,0.559,1.4999999949485165,1.3970583893556414,0.3000422595296732,
6.996184826,0.441,0.504,0.559,1.1066835922546823,1.075536167125735,0.558,1.4999999932158645,1.344145880138083,0.30003674192021274,
7.016180515,0.464,0.53,0.56,1.1052829836575675,1.077313328625317,0.558,1.4999999661647796,1.2783021406631327,0.30004049527644,
7.036179542,0.49,0.558,0.56,1.1031673512495814,1.07904703363772,0.56,1.455563575500148,1.205499274877231,0.30004696569355577,
7.056193351,0.512,0.583,0.561,1.1006610878620624,1.0811569563273251,0.56,1.3617003427500338,1.1453768122396535,0.3000395154393131,
7.076182365,0.539,0.612,0.562,1.098802152204518,1.0828686471272928,0.56,1.2732036849359774,1.071328921883547,0.30003766869244725,
7.096184015,0.566,0.638,0.562,1.0967796761961728,1.0857505818926512,0.562,1.181703531068698,1.024957250924832,0.30004103227062723,
7.116181135,0.584,0.662,0.564,1.0943945607261345,1.0884869833468405,0.562,1.1099909534969135,0.98181265249245,0.3000362508049574,
7.136180162,0.606,0.688,0.566,1.0922708290325085,1.0907067094143554,0.562,1.0352978819968468,0.9189708334783628,0.30003248634727636,
7.156179666,0.631,0.713,0.567,1.0896666645830084,1.094536667911648,0.566,0.9430464230323581,0.8922834364338725,0.300037938950904,
7.176198244,0.653,0.737,0.568,1.0864472612919183,1.0980243395312532,0.567,0.8482576378633119,0.8550015600161511,0.3000379967450419,
7.196182012,0.675,0.762,0.569,1.0837745313641458,1.101193121934739,0.567,0.7705250406829494,0.8002020358056666,0.3000361283482246,
7.2161839,0.698,0.786,0.57,1.080284482349769,1.1033778951762736,0.569,0.6750625414987922,0.7280762654506678,0.30003776430273693,
7.236183643,0.72,0.81,0.57,1.076192963560133,1.103612414423905,0.57,0.5728768234326234,0.625693026800119,0.30003939543413183,
7.256181717,0.743,0.833,0.571,1.0726774427336412,1.1059998683187109,0.57,0.4876675557568946,0.5705479356020159,0.300037242793143,
7.276257753,0.765,0.856,0.571,1.0693408184246376,1.1068407053187164,0.571,0.4090461469191798,0.4874710768017051,0.30000039684615054,
7.296182394,0.787,0.877,0.572,1.0648595558998544,1.1089836987956772,0.571,0.3104284407742398,0.42855263747141426,0.3000003719370546,
7.316182613,0.808,0.899,0.573,1.0607142057489531,1.1107988473989814,0.571,0.2288402192084483,0.3724617243223289,0.3000003484770905,
7.33618164,0.83,0.915,0.574,1.057486957770979,1.114361157027836,0.573,0.1598977579619125,0.35728276183171326,0.3000003661506461,
7.35617733,0.851,0.934,0.574,1.0548442259632076,1.118013317992176,0.574,0.11323658746340635,0.3381543521658061,0.3000003891364467,
7.376178026,0.87,0.953,0.574,1.050941781998011,1.1205347437825588,0.574,0.0411542265319663,0.29442015738651944,0.3000003920206528,
7.3961858750000005,0.89,0.971,0.573,1.04891281785201,1.123830759741785,0.574,0.004079179340202613,0.270618864641052,0.3000004193077693,
7.416181802,0.909,0.988,0.571,1.0459211624414801,1.128058336963154,0.573,-0.046079739898820374,0.269689368178749,0.3000004519616263,
7.436181545,0.926,1.004,0.568,1.042622643234279,1.1315094391655767,0.573,-0.10700537011171414,0.2395593791194044,0.3000005441944803,
7.456182003,0.942,1.019,0.566,1.03979619117932,1.134274151252985,0.568,-0.15341818027709986,0.2074399771283581,0.30000047385664413,
7.476186514,0.958,1.034,0.562,1.0376316888182755,1.1367636406762833,0.566,-0.18758423572489666,0.15873355860106003,0.3000005442273491,
