Time,X,Y,Z,rx,ry,rz,Ux,Uy,Uz
6.676928044,0.012,0.005,0.617,0.1167368504375424,-0.001252055470603706,0.55,0.2958387168418937,-0.053289034787679296,0.3000017555728212,
6.696370602,0.011,0.006,0.618,0.11724997295993833,-0.001199114358994232,0.617,0.2962215826704364,-0.013369905284799992,0.3000001362923921,
6.716289759,0.01,0.007,0.618,0.11778762354198326,-0.0024036527847226055,0.617,0.29962102198915563,-0.012635681002949031,0.3000001362060799,
6.736270905,0.009,0.008,0.617,0.12018859042524077,-0.015452623062949615,0.618,0.3359978166680211,-0.19691547344877494,0.30000015553269593,
6.756266356,0.008,0.009,0.616,0.12146328884234675,-0.022029330089389034,0.617,0.34848957183808554,-0.27060728837300974,0.3000156345174604,
6.776270151,0.007,0.01,0.615,0.12254037140090686,-0.02692729756022643,0.617,0.3554068123829276,-0.291818816096956,0.3000167275133381,
6.803719044,0.006,0.011,0.615,0.12469023136635124,-0.03201979088323993,0.616,0.37614384926989364,-0.3088443216451762,0.3000157804000976,
6.840963841,0.005,0.012,0.615,0.12640856257899194,-0.032215485684498536,0.615,0.3802684072991324,-0.20708522739389398,0.3000148528525464,
6.8437953,0.005,0.013,0.615,0.12658827220289767,-0.03267551805396962,0.615,0.3809407175308058,-0.21081463098656916,0.30001485406923206,
6.856477738,0.003,0.007,0.601,0.1273932127523414,-0.03473605716253854,0.615,0.39007861232679963,-0.19964277094380253,0.30000038300897386,
6.876343966,0.002,0.005,0.593,0.12862827893876494,-0.03711060659466178,0.601,0.3944264713618013,-0.17082341286639358,0.30000028610309587,
6.89634943,0.001,0.003,0.586,0.12992357877430377,-0.039858938961892805,0.601,0.4020480959744472,-0.16965586045795641,0.3000004582121489,
6.916316271,0.002,0.001,0.581,0.13119113114215727,-0.04218319503467114,0.593,0.3996622931123067,-0.14159062516275014,0.30000039897899616,
6.936302662,0.002,0.0,0.575,0.13181862905030656,-0.045704736426166195,0.581,0.3888613214729409,-0.14852224097076963,0.3000002931416143,
6.959571362,0.003,0.0,0.572,0.133084449248188,-0.05088528551611857,0.575,0.3877389267299761,-0.19566663350780178,0.30000025165548416,
6.976508856,0.009,0.002,0.568,0.13399916408666063,-0.053248687729822775,0.575,0.371632281228641,-0.2050121866878262,0.30000033018984,
6.996501446,0.012,-0.003,0.562,0.1356502268119163,-0.060805625126022965,0.568,0.3803121254919748,-0.3253148659781578,0.3000003276196574,
7.016688109,0.015,-0.001,0.561,0.13759523134750914,-0.06476408582777458,0.562,0.3858248259695131,-0.33492480594104884,0.3000002467245235,
7.036468983,0.019,-0.003,0.56,0.1390436191594856,-0.06937128321287021,0.562,0.37870020496886975,-0.34637802412460544,0.30000026456644746,
7.056375265,0.022,-0.009,0.557,0.14086711804387944,-0.07363450086971095,0.56,0.3833230914602884,-0.3331299185951374,0.3000002882540727,
