Time,X,Y,Z,rx,ry,rz,Ux,Uy,Uz
6.260997057,0.012,-0.005,0.598,-0.4705162862403391,0.6794594782951182,0.55,-1.4008804943162332,1.4999999962161013,0.30000510627565696,
6.280899287,0.013,-0.006,0.598,-0.4735307770012316,0.6763756940336161,0.55,-1.4093195853033142,1.4999999956554773,0.30000517708719926,
6.300802708,0.013,-0.007,0.599,-0.4773167266533124,0.6718136254925728,0.598,-1.4283971029583309,1.4999999844687082,0.30002833138082863,
6.321136237,0.013,-0.007,0.599,-0.4804393852776403,0.668347475135017,0.598,-1.4346967579852694,1.4999999682710965,0.3000305700176432,
6.340622902,0.014,-0.008,0.599,-0.4847559097722398,0.6640291408654252,0.599,-1.4773879197946531,1.4999997622236168,0.3000324888047812,
6.360550404,0.014,-0.009,0.599,-0.4877790180856568,0.6600538040782643,0.599,-1.4720992764352077,1.4999985776891858,0.30003264518096084,
6.380656004,0.014,-0.009,0.599,-0.49102316570729726,0.656241343321375,0.599,-1.479807780039349,1.4999753888403928,0.3000330893185424,
6.400592566,0.014,-0.01,0.601,-0.49605145004646384,0.6510227148270169,0.599,-1.4999996971210146,1.470955041131056,0.3000296822216639,
6.421083451,-0.002,0.003,0.593,-0.49892227987010135,0.6475912890749458,0.601,-1.4737051454253154,1.4364893041971452,0.3000509500616745,
6.440577984,-0.005,0.006,0.593,-0.5011938051976464,0.6454624900704949,0.593,-1.4536948011857598,1.4530551467067003,0.30003439209732424,
6.460560084,-0.008,0.009,0.593,-0.5044270085851978,0.6417735178726731,0.593,-1.4526398305050143,1.4358148181204982,0.3000338157870399,
6.480577469,-0.013,0.013,0.593,-0.5076270031567567,0.6381534290996541,0.593,-1.4395279203051665,1.4238967533099578,0.3000311779173705,
6.500658036,-0.02,0.017,0.592,-0.5095524653267539,0.6355868760590794,0.593,-1.3921070474244155,1.4339510745025057,0.30003481702391793,
6.5206000809999995,-0.027,0.023,0.592,-0.5121526579192047,0.6324738823802769,0.593,-1.3744674607535936,1.4126932803959986,0.3000301595314976,
6.540585041,-0.035,0.029,0.591,-0.516920598442719,0.626881996400156,0.592,-1.3980141916342625,1.3469451214689663,0.30002951444537684,
6.560596943,-0.044,0.036,0.589,-0.5208623571814214,0.6220536304197091,0.591,-1.3950450764969342,1.2960731531743503,0.30003111010867456,
6.580580473,-0.054,0.043,0.586,-0.5241599376982864,0.6179844410816151,0.591,-1.3734931284674674,1.2660292847121375,0.3000376051541108,
6.60059309,-0.065,0.051,0.583,-0.5265570912107889,0.6156206389328902,0.586,-1.3359754017240946,1.2588159668591195,0.3000345204234949,
6.6206467159999995,-0.077,0.06,0.579,-0.5302026710935168,0.6109137415008845,0.583,-1.3207644363396627,1.2045833713808505,0.30003737559320187,
6.640831471,-0.09,0.07,0.575,-0.5335204203302635,0.6067972978513277,0.583,-1.2903545448906364,1.1664058088081304,0.30004662956551154,
6.660657406,-0.105,0.08,0.57,-0.5371854780688088,0.6031434801581766,0.575,-1.266831830415513,1.1320030807257582,0.3000407946850122,
6.680645466,-0.121,0.092,0.566,-0.5403064128399777,0.5995515156407284,0.57,-1.2150916107168195,1.1034974728817761,0.3000381015152957,
6.700529099,-0.138,0.104,0.562,-0.5436320985856298,0.5956520850463987,0.57,-1.1723925013906682,1.0616233762386396,0.3000464172462256,
6.720568419,-0.156,0.117,0.558,-0.5468902865197802,0.5926726063624391,0.562,-1.1220424295768923,1.0387306490527306,0.3000376560373094,
6.740619421,-0.176,0.132,0.554,-0.5491286129564423,0.5874148763093147,0.558,-1.0520077775315877,0.9596110396176593,0.30003832775572076,
6.760556221,-0.196,0.147,0.55,-0.5521473562220646,0.5833491639750972,0.558,-0.998079343365799,0.9089047801690832,0.30004906878460885,
6.780538798,-0.218,0.164,0.546,-0.5538661203147852,0.5787874031606256,0.55,-0.9080152113325738,0.8472448268258223,0.3000411654539814,
6.800548315,-0.242,0.182,0.543,-0.5571365865418452,0.5741284480821344,0.546,-0.8584784920132512,0.7682611011622643,0.300040146608253,
6.820594788,-0.261,0.196,0.539,-0.5598850351649782,0.5695592771303986,0.546,-0.8063327954148481,0.7172952899400405,0.30005106655033764,
6.840646029,-0.285,0.213,0.537,-0.5624394750494576,0.5658164696209826,0.539,-0.7321363202812371,0.672704627505943,0.3000401569964731,
6.873664379,-0.333,0.23,0.547,-0.5660213347339617,0.5605104165299449,0.537,-0.5748773618650186,0.6483667741834241,0.3000199686301794,
6.890719176,-0.36,0.248,0.548,-0.5688655115869454,0.5566644006613364,0.547,-0.5180500854673803,0.5792632579132274,0.3000324998431745,
6.901102543,-0.386,0.266,0.548,-0.570148864215213,0.5545391447238314,0.547,-0.4410305260152375,0.5260563122532526,0.3000326253332666,
6.920580864,-0.413,0.284,0.55,-0.571839862374538,0.5520350447266923,0.548,-0.35304966879341565,0.501530287504518,0.3000307804069255,
6.94065547,-0.441,0.301,0.552,-0.5740823689717185,0.5484478517576967,0.548,-0.2712552417827785,0.44933810631155524,0.30000027864247325,
6.960615397,-0.466,0.32,0.552,-0.5771081779099841,0.5436739622343002,0.552,-0.21601809513691567,0.37605177778071686,0.3000003518305023,
6.980602742,-0.49,0.337,0.554,-0.5800002824728611,0.5398172399541066,0.552,-0.1590507034731025,0.3230460350656133,0.30000031424847534,
7.000639201,-0.514,0.354,0.555,-0.5825036512931058,0.5361179719160365,0.552,-0.09185593912118896,0.269984516156387,0.30000029867718236,
7.020596743,-0.539,0.372,0.556,-0.5851623161324015,0.5323126987824903,0.555,-0.020361487917613524,0.20343728855861332,0.3000003346653936,
7.040561676,-0.561,0.386,0.558,-0.5874691011398347,0.527920664664981,0.556,0.04156150706457894,0.1459140885912329,0.3000003154080529,
7.060611487,-0.584,0.404,0.559,-0.5899018109328957,0.5239622167312094,0.556,0.10604317961916475,0.08807796944353552,0.30000029962558006,
7.080621481,-0.603,0.416,0.561,-0.5919190579729272,0.5196393604501202,0.559,0.16012422288822944,0.03909315403421386,0.3000003147030847,
7.100554228,-0.625,0.432,0.563,-0.594228124851541,0.5155358343630166,0.561,0.22338691150920398,-0.01551087680858396,0.30000031408392325,
7.120539666,-0.645,0.447,0.563,-0.5965378411446621,0.5114164425588049,0.561,0.2790588078740441,-0.06626998079204595,0.30000031768196084,
7.140639067,-0.661,0.454,0.565,-0.598378851102101,0.5074760197521363,0.563,0.3337515938918811,-0.09067979598898994,0.3000003158106096,
7.160594702,-0.679,0.464,0.567,-0.6009487375663264,0.5033941303587938,0.565,0.37571722908317784,-0.13095018589183613,0.3000003144864423,
7.180598259,-0.692,0.478,0.565,-0.6031466826808327,0.49924433421255726,0.565,0.4104622770990578,-0.17908311541978258,0.3000003580390972,
7.200557232,-0.708,0.489,0.565,-0.6049888809227502,0.49567447843058654,0.565,0.46649490743379995,-0.20498006190515594,0.30000036106488936,
7.220546484,-0.722,0.499,0.565,-0.6073189603816385,0.49139547652398974,0.565,0.4924364572503128,-0.25326096311309165,0.3000003639170084,
7.240547419,-0.735,0.509,0.565,-0.6094272842055465,0.4872479081279519,0.565,0.5273268947352406,-0.2907221442445797,0.30000036646789024,
7.260587931,-0.747,0.517,0.565,-0.6114400002421275,0.48359756490768124,0.565,0.5581380887838602,-0.30912526359526793,0.30003616190786625,
7.280529976,-0.756,0.525,0.56,-0.6133502532701627,0.47971492404365873,0.565,0.5829972296191326,-0.33494403718555815,0.3000005031027954,
7.300564528,-0.764,0.532,0.557,-0.6153701722597156,0.4758129615266582,0.565,0.6027763043381817,-0.362550527599463,0.3000006105267188,
7.320566655,-0.772,0.538,0.555,-0.6178136798595404,0.4715662307946977,0.557,0.6180910365440212,-0.39714224929060754,0.30004365903863217,
7.340541363,-0.779,0.543,0.552,-0.620055512908762,0.46755963893544455,0.555,0.6318493648104704,-0.4204208181005091,0.3000471160264094,
7.360559225,-0.784,0.546,0.549,-0.6221264579098642,0.46354344472271486,0.555,0.6420604148590369,-0.43830113387693787,0.3000559569527045,
7.38054514,-0.789,0.549,0.546,-0.6243693276746511,0.4595430904783103,0.549,0.6457008071773976,-0.45607187529248927,0.30004941291111886,
7.400708676,-0.792,0.551,0.543,-0.6263598891587528,0.4555190191185816,0.546,0.6517792696212346,-0.4708676894215199,0.3000505344073505,
7.4211142070000005,-0.794,0.551,0.541,-0.6284898398427521,0.45142995464793195,0.546,0.6523263078142987,-0.48091402737274774,0.30005654051877717,
7.440582753,-0.795,0.551,0.539,-0.6304591364152471,0.44683781253473054,0.541,0.6481423676298123,-0.5014952762157886,0.30004944914272974,
7.460644246,-0.794,0.549,0.537,-0.6322834023354214,0.4425450680331679,0.539,0.6470213571749385,-0.509457898003179,0.30005007487572766,
7.480618477,-0.792,0.546,0.535,-0.6342692861839552,0.43830314932556674,0.539,0.6359919737399985,-0.5126184522935989,0.30005581993500874,
