Time,X,Y,Z,rx,ry,rz,Ux,Uy,Uz
6.193480253,-0.056,0.009,0.599,0.6910800429589106,0.5116193645229935,0.55,1.4999999994560052,1.4100305773609327,0.30000562666752667,
6.213021279,-0.048,0.009,0.599,0.6864699733597153,0.5178003867908105,0.55,1.4999999994450341,1.4232178653235312,0.3000055979509383,
6.233013153,-0.041,0.009,0.599,0.6816213478704627,0.5236547634313946,0.599,1.4999999972536253,1.4294386453192063,0.3000344096171437,
6.252940417,-0.035,0.009,0.598,0.67646993008784,0.5293334315418647,0.599,1.4999999967007616,1.431763866568089,0.30003681886239625,
6.272917509,-0.028,0.009,0.598,0.6715418114164377,0.5351681961023327,0.599,1.4999999961363155,1.443011005649239,0.300038763304912,
6.293143988,-0.022,0.01,0.598,0.6663242468418215,0.5411534098325289,0.598,1.4999999958923969,1.4541314855381382,0.3000367942423864,
6.313050032,-0.016,0.01,0.598,0.661032241337648,0.547057187656363,0.598,1.4999999956203072,1.4676579938533496,0.30003465363630133,
6.333141089,-0.01,0.011,0.599,0.6557806663638389,0.5527157829256099,0.598,1.4999999951934297,1.476011197427853,0.3000330440586733,
6.35308218,-0.004,0.012,0.599,0.6513851284023632,0.5577091004647735,0.599,1.4999999935588433,1.4795707455711067,0.3000348857837633,
6.37298441,0.003,0.015,0.599,0.6460416948047237,0.5637261575313612,0.599,1.499999966644257,1.491948610103759,0.3000271645665016,
6.392966509,0.01,0.018,0.599,0.6407701176432709,0.5691602123400635,0.599,1.4999994009334283,1.4946774198881354,0.3000318686426014,
6.412910462,0.02,0.023,0.599,0.6354873525970026,0.5747396643330638,0.599,1.4804226614955154,1.4958137140426246,0.3000326553773318,
6.433493853,0.03,0.029,0.599,0.6298110537108903,0.5808941880583384,0.599,1.4298900920702078,1.499856964076644,0.3000002793636517,
6.453121901,0.04,0.035,0.599,0.6244874437231456,0.5862280839501628,0.599,1.383089715422985,1.4963219420396598,0.3000285489096278,
6.473020315,0.052,0.042,0.598,0.619063094028085,0.5919891421587337,0.599,1.3299990331462397,1.4992156869296818,0.3000004207982202,
6.49292469,0.064,0.05,0.597,0.6213016410521729,0.5841558550514045,0.598,1.4189760257336965,1.2683564630973598,0.30002907671829954,
6.512907028,0.077,0.059,0.597,0.6178618862529943,0.5859390358267091,0.598,1.3756215768481799,1.235924613583148,0.300028479005892,
6.532912255,0.091,0.069,0.596,0.615520147207112,0.5852992278675783,0.597,1.3562472183477294,1.1483726238012502,0.30002935138200837,
6.553352595,0.107,0.08,0.595,0.608477845805194,0.5918275639797292,0.596,1.2419351466155037,1.1919018264698418,0.30002687050302684,
6.572913885,0.123,0.092,0.594,0.605061153620933,0.592904261817825,0.596,1.1880308906955723,1.1508528257031463,0.30002715393730867,
6.5934503079999995,0.14,0.106,0.592,0.5981339034734213,0.5993751734121159,0.594,1.0723686809851638,1.1881713666439746,0.30002774530178083,
6.61290884,0.158,0.12,0.591,0.5913744463261317,0.6065895190307344,0.592,0.950203048551183,1.2518780970325656,0.30002810931980933,
6.632916212,0.177,0.135,0.589,0.5864613580039071,0.6097550990686125,0.592,0.8768948355476365,1.217798676006007,0.3000307357780889,
6.65307641,0.197,0.152,0.587,0.5787765430756492,0.6186813942091224,0.589,0.733471299616876,1.299023444570118,0.3000314896884747,
6.673017979,0.216,0.169,0.586,0.5704573713164014,0.6267305749755075,0.587,0.5871416232330066,1.3588211787484121,0.3000305996623245,
6.692994595,0.238,0.188,0.584,0.5633664602349173,0.6332345944940116,0.587,0.4904097900893364,1.3352034325834237,0.3000342312433645,
