Time,X,Y,Z,Vx,Vy,Vz,r,p,y,rx,ry,rz,Ux,Uy,Uz
0.0,0.006,-0.002,0.323,-0.018,0.009,0.05,-0.06,1.37,-3.01,0.5,1.6,-1.2,1.4999999968615003,-1.4999999129674348,0.30000011592470033,
0.01966118799999972,0.011,-0.001,0.324,-0.008,0.011,0.046,0.07,1.35,-3.03,0.5,1.6,-1.2,1.4999999968224407,-1.4999999146324443,0.30000011510680585,
0.04148268700000024,0.014,0.0,0.322,-0.004,0.019,0.025,0.1,1.23,-2.98,0.5,1.6,-1.2,1.499999996787607,-1.4999999157312813,0.3000001153519634,
0.06363296500000004,0.014,0.001,0.321,-0.007,0.024,0.013,0.06,0.93,-2.93,0.5,1.6,-1.2,1.4999999967841289,-1.4999999164050877,0.3000001156370718,
0.07965469400000025,0.01,-0.001,0.323,-0.021,0.009,0.036,0.56,0.18,-2.84,0.5,1.6,-1.2,1.4999999968270818,-1.4999999143971654,0.30000011549818006,
0.0993466380000001,0.001,-0.002,0.331,-0.037,0.002,0.079,2.21,-1.6,-2.73,0.5,1.6,-1.2,1.4999999969381002,-1.4999999127290748,0.30000011417103883,
0.11935544000000053,0.007,-0.002,0.331,-0.009,-0.008,0.071,5.14,-4.69,-2.36,0.5,1.6,-1.2,1.499999996886656,-1.4999999137174316,0.3000001135466203,
0.14470457999999997,0.01,-0.001,0.329,0.019,-0.022,0.043,8.67,-7.95,-1.85,0.5,1.6,-1.2,1.4999999968527085,-1.499999914829493,0.30000011379770014,
0.15939331100000054,0.012,-0.001,0.329,0.05,-0.05,0.02,11.82,-10.51,-1.36,0.5,1.6,-1.2,1.4999999968349071,-1.499999915154176,0.3000001135859343,
0.17932581899999978,0.013,-0.002,0.329,0.084,-0.092,0.007,13.76,-11.92,-1.15,0.5,1.6,-1.2,1.4999999968250795,-1.4999999145560006,0.3000001134782171,
0.1993401050000001,0.015,-0.005,0.329,0.122,-0.139,-0.006,14.3,-12.23,-1.23,0.5,1.6,-1.2,1.4999999968044277,-1.4999999125541112,0.3000001132603761,
0.21937799500000033,0.018,-0.008,0.329,0.16,-0.188,-0.02,13.95,-11.92,-1.46,0.5,1.6,-1.2,1.4999999967744133,-1.4999999106548674,0.30000011293434964,
0.23932671599999988,0.021,-0.013,0.33,0.188,-0.238,-0.036,13.32,-11.31,-1.68,0.5,1.6,-1.2,1.4999999967406372,-1.4999999069925274,0.3000001124079746,
