Time,X,Y,Z,Vx,Vy,Vz,r,p,y,rx,ry,rz,Ux,Uy,Uz
0.0,0.003,0.004,0.328,0.001,-0.002,-0.005,0.16,0.16,-2.3,0.007539623930011564,0.5,0.5998934114284854,0.4850275110366296,0.012398914920635695,0.3000000024754067,
0.01908159300000012,0.003,0.004,0.328,0.0,-0.001,-0.002,0.2,0.17,-2.33,0.011135974101046232,0.5,0.5998145921320949,0.48490790478383294,0.014795769263134046,0.30000000247533243,
0.039077043999999894,0.003,0.004,0.329,-0.001,-0.002,-0.002,0.22,0.17,-2.36,0.014904132519852457,0.5,0.5997091276965631,0.48476398114986313,0.01730674036521013,0.3000000024735928,
0.05898904799999993,0.003,0.004,0.328,-0.001,-0.003,0.0,0.23,-0.08,-2.2,0.01865598042523632,0.5,0.599580566694378,0.4846015295465815,0.01980644324534883,0.3000000024751424,
0.07897377100000025,0.003,0.003,0.328,0.0,-0.003,-0.007,0.2,-0.91,-2.15,0.022420796302514718,0.5,0.5994279624083796,0.4844193282130687,0.023015117442363668,0.3000000024750299,
0.09899187099999995,0.003,0.003,0.328,0.0,-0.004,-0.011,0.17,-1.53,-2.11,0.026191014108463282,0.5,0.5992514236493666,0.4842175824243024,0.02552625641515993,0.30000000247490494,
0.11904358900000034,0.003,0.004,0.328,0.01,-0.003,-0.012,0.09,-3.72,-2.32,0.029966525449963505,0.5,0.5990508364372299,0.4839962011766369,0.027339785949771687,0.30000000247476716,
0.13903665600000004,0.004,0.003,0.328,0.029,-0.006,-0.014,0.11,-4.95,-2.04,0.03372980905662944,0.5,0.5988271542499851,0.4828802246846044,0.030546232894379736,0.3000000024815413,
0.15902137800000027,0.005,0.003,0.327,0.048,-0.007,-0.018,0.12,-5.61,-1.79,0.03749019192652863,0.5,0.5985799539493308,0.48174517045095916,0.03304961512453152,0.300000002489967,
0.1790471079999998,0.007,0.003,0.327,0.066,-0.007,-0.035,0.12,-5.72,-1.53,0.0412568091602454,0.5,0.5983085886886729,0.4797143659619694,0.035556744844282416,0.3000000025036858,
0.19910359400000033,0.008,0.003,0.326,0.083,-0.008,-0.056,0.09,-5.51,-1.42,0.04502757510730102,0.5,0.5980130785150443,0.4785398707966129,0.03806623159884597,0.30000000251212255,
