Time,X,Y,Z,Vx,Vy,Vz,r,p,y,rx,ry,rz,Ux,Uy,Uz
0.0,0.001,0.0,0.327,0.004,0.001,-0.005,-0.04,-0.1,-1.33,0.6,0.0,0.5,0.48677952211679854,0.015201841009589488,0.30000000246323394,
0.019408464000000514,0.001,0.0,0.326,0.004,0.001,-0.004,-0.04,-0.07,-1.34,0.5999886819518893,0.00365838575410965,0.5,0.48665778455225805,0.01763975110053105,0.3000000024648053,
0.03936767500000027,0.001,0.0,0.326,0.005,0.001,-0.004,-0.03,-0.03,-1.33,0.599953937062839,0.007420440729691425,0.5,0.4865138175493738,0.020146159852976304,0.30000000246471636,
0.05933594700000011,0.001,0.0,0.326,0.006,0.001,-0.002,-0.02,-0.13,-1.17,0.599895574120314,0.011183911523916757,0.5,0.48635061120312995,0.0226529138066606,0.30000000246461556,
0.08105039600000019,0.002,0.0,0.326,0.008,0.001,0.005,-0.0,-0.86,-1.03,0.5998052270340706,0.015275981577198203,0.5,0.4852752955887574,0.02537785827105622,0.30000000247140257,
0.09975910200000015,0.002,0.0,0.326,0.013,0.001,0.02,-0.03,-2.34,-0.91,0.5997052912314398,0.01880106748408234,0.5,0.4850856336785249,0.027724683031092316,0.30000000247128533,
0.11939048700000043,0.002,0.0,0.327,0.023,0.001,0.028,-0.16,-4.36,-0.9,0.5995778334797396,0.02249929412794354,0.5,0.4848682769207404,0.030186203235736214,0.30000000246950204,
0.1395077700000007,0.003,0.0,0.328,0.04,0.001,0.03,-0.31,-6.06,-0.82,0.5994236946991237,0.026288171293405833,0.5,0.4837504407936513,0.03270746310585976,0.30000000247461767,
0.15940427700000015,0.004,0.0,0.328,0.062,0.002,0.035,-0.37,-6.87,-0.71,0.5992476397825163,0.030034432918487376,0.5,0.4826161030590629,0.03519976580811951,0.30000000248137976,
0.17942762300000048,0.005,0.0,0.329,0.087,0.003,0.04,-0.25,-6.74,-0.6,0.5990468586665799,0.033803393222884746,0.5,0.481460970624298,0.037706569979562746,0.30000000248648223,
0.19943618700000076,0.007,0.0,0.33,0.11,0.004,0.046,0.05,-5.99,-0.48,0.5988225435779455,0.0375682348750927,0.5,0.47941083189391603,0.04021003293453733,0.3000000024985193,
0.2255234710000007,0.011,0.0,0.331,0.137,0.0,0.055,0.47,-5.24,-0.24,0.598493970577879,0.042474564793612876,0.5,0.4754888312140935,0.04347161971121322,0.30000000252444625,
0.2420029640000001,0.014,0.0,0.333,0.155,-0.002,0.059,0.77,-4.81,-0.13,0.5982663092128787,0.04557251518723827,0.5,0.4725804820341826,0.04553053623345531,0.300000002541895,
0.25939321500000023,0.017,0.0,0.334,0.169,-0.006,0.068,0.81,-4.85,-0.28,0.5980087097728456,0.04884035753054472,0.5,0.46964257421772393,0.04770192177164988,0.30000000256105525,
0.2793314450000004,0.02,0.0,0.336,0.185,-0.009,0.073,0.57,-5.21,-0.39,0.597691039258928,0.052585168339328685,0.5,0.46664117064916416,0.050189669519427854,0.3000000025785494,
0.2994298930000001,0.024,0.0,0.338,0.202,-0.011,0.064,0.16,-5.59,-0.42,0.597347123820169,0.05635798656665507,0.5,0.46274156917473713,0.05269541836111362,0.30000000260314513,
0.3193747990000002,0.028,-0.001,0.339,0.22,-0.011,0.06,-0.23,-5.7,-0.44,0.5969822533779636,0.06009975792367399,0.5,0.4588258913874009,0.05588067605594716,0.30000000262953364,
0.3393137450000001,0.032,-0.001,0.34,0.239,-0.01,0.056,-0.35,-5.38,-0.45,0.5965940629763566,0.06383805232129558,0.5,0.45489136704520416,0.058362294102818076,0.3000000026560233,
0.3659307950000006,0.037,-0.001,0.341,0.256,-0.009,0.055,-0.2,-4.75,-0.45,0.5960388763304149,0.06882441733892172,0.5,0.4499067164636572,0.06167148013016898,0.30000000268968363,
0.3794236180000006,0.043,-0.001,0.342,0.271,-0.009,0.056,0.08,-4.02,-0.46,0.5957423326397712,0.0713504037344746,0.5,0.4443319605806685,0.06334745574575947,0.3000000027309284,
0.3992810250000005,0.048,-0.002,0.344,0.283,-0.011,0.056,0.3,-3.39,-0.46,0.595285595169924,0.07506545872817583,0.5,0.43946643331843,0.06651258025823721,0.3000000027633175,
0.4200768470000007,0.053,-0.002,0.344,0.293,-0.012,0.057,0.33,-3.01,-0.22,0.594782650337544,0.078952971844713,0.5,0.4345580454653538,0.06909074033184996,0.3000000027995587,
0.43937015500000065,0.059,-0.002,0.346,0.302,-0.014,0.051,0.11,-2.85,-0.19,0.5942930295551312,0.08255655837029706,0.5,0.4287932154179597,0.07148001001492639,0.3000000028399192,
0.4593780040000004,0.065,-0.002,0.346,0.311,-0.013,0.039,-0.24,-2.82,0.05,0.5937623732139121,0.08629042184870404,0.5,0.4229910257817246,0.07395506541774949,0.3000000028840954,
0.4793565270000002,0.071,-0.003,0.347,0.32,-0.012,0.031,-0.54,-2.69,0.18,0.5932090795828927,0.09001540969540883,0.5,0.4171707105082441,0.0771243634696771,0.3000000029267394,
0.5100672240000002,0.077,-0.003,0.348,0.327,-0.01,0.028,-0.65,-2.34,0.35,0.59231316719477,0.09573446737309729,0.5,0.411010587405677,0.08091323290153353,0.30000000296942314,
0.5201120370000005,0.083,-0.003,0.348,0.334,-0.008,0.028,-0.55,-1.81,0.3,0.592008099150009,0.09760313099191154,0.5,0.40544912372837955,0.08215090797581898,0.30000000301460356,
0.5393443100000006,0.09,-0.003,0.349,0.338,-0.007,0.031,-0.37,-1.23,0.25,0.5914074326112432,0.10117821384844908,0.5,0.3987189114933172,0.08451836737379265,0.30000000306565683,
0.5593523980000006,0.096,-0.003,0.349,0.34,-0.005,0.03,-0.24,-0.74,0.42,0.5907597769775252,0.1048936161548041,0.5,0.3928221974958629,0.08697815465363638,0.3000000031112247,
0.5793359280000008,0.102,-0.003,0.35,0.341,-0.004,0.02,-0.24,-0.39,0.62,0.5900896119544224,0.1086003203666586,0.5,0.3869074563521965,0.08943157462477319,0.3000000031551657,
0.5993468760000003,0.109,-0.003,0.35,0.342,-0.003,0.01,-0.38,-0.17,0.74,0.5893952291385657,0.11230782237435513,0.5,0.38009700188660933,0.0918849127079846,0.30000000320904174,
0.619315147,0.115,-0.003,0.35,0.341,0.0,0.004,-0.61,0.01,1.05,0.5886790971220145,0.11600299110049446,0.5,0.37414525549581307,0.09432948000855873,0.3000000032554422,
0.6454396240000007,0.121,-0.003,0.35,0.337,0.0,0.004,-0.76,0.21,0.97,0.5877066819826484,0.12083035444888472,0.5,0.36795038423358034,0.09752212544235278,0.30000000330194126,
0.6593151090000005,0.128,-0.003,0.351,0.334,0.0,0.006,-0.82,0.42,0.91,0.5871749207459938,0.12339118999318915,0.5,0.3613073755303566,0.09921536732544489,0.30000000335498783,
0.6797227860000001,0.133,-0.003,0.351,0.329,0.005,0.01,-0.79,0.65,1.05,0.5863718720452161,0.1271531828503577,0.5,0.3561589367114383,0.1017022686112883,0.30000000339419813,
0.7131826870000006,0.14,-0.003,0.351,0.325,0.006,0.02,-0.7,0.87,0.98,0.5850023514716898,0.13330970652227178,0.5,0.34872442136826554,0.105770695571344,0.3000000034492242,
0.7217814920000007,0.146,-0.002,0.351,0.32,0.011,0.017,-0.7,1.04,1.29,0.5846402988856194,0.13488958710320129,0.5,0.34312552646577726,0.10611373070046969,0.3000000034972567,
0.7393882270000001,0.152,-0.002,0.352,0.316,0.013,0.009,-0.75,1.12,1.36,0.5838854979807763,0.13812140014976906,0.5,0.33715660524864827,0.10824850655913675,0.30000000354323614,
0.7602512830000006,0.157,-0.002,0.352,0.305,0.016,0.008,-0.83,1.24,1.66,0.5829677655284844,0.14194540258850627,0.5,0.33191304862012616,0.11077382956817837,0.30000000358321344,
0.7793862820000008,0.162,-0.002,0.352,0.3,0.018,0.009,-0.87,1.35,1.55,0.5821038461972101,0.1454472673089022,0.5,0.32672313865245134,0.11308582154383527,0.3000000036236848,
0.7993364330000006,0.168,-0.001,0.352,0.295,0.021,0.014,-0.87,1.48,1.58,0.5811808123144714,0.14909273380470436,0.5,0.3206047597836822,0.11479129022804557,0.3000000036729877,
0.8193912500000007,0.174,-0.001,0.353,0.289,0.024,0.02,-0.83,1.58,1.63,0.5802299524064498,0.15275142946956072,0.5,0.3144633581011689,0.11720560223730925,0.30000000372037783,
0.8393504620000005,0.179,-0.001,0.353,0.276,0.022,0.029,-0.75,1.71,1.5,0.5792607337221788,0.15638665727473366,0.5,0.30918376261574376,0.11960380852622866,0.30000000376170394,
0.8593611710000006,0.184,-0.001,0.354,0.266,0.023,0.036,-0.73,1.75,1.41,0.5782661640178647,0.1600250951342724,0.5,0.30388346410674666,0.1220035119092981,0.30000000380100217,
0.884337425,0.189,0.0,0.354,0.257,0.029,0.029,-0.83,1.7,1.73,0.5769922063220455,0.16455734920708523,0.5,0.29832859499276865,0.12429110494238253,0.3000000038424079,
0.899331569000001,0.193,0.0,0.355,0.249,0.031,0.024,-0.91,1.61,1.84,0.5762111731326269,0.16727361517879027,0.5,0.29410622351334625,0.12608162056896513,0.3000000038736369,
0.9193563460000007,0.198,0.0,0.356,0.243,0.033,0.022,-0.94,1.53,1.74,0.5751474709046586,0.1708952098163001,0.5,0.28875025503514884,0.128468346913908,0.30000000391327114,
0.9394471640000006,0.202,0.001,0.356,0.236,0.035,0.023,-0.89,1.51,1.65,0.5740574023270413,0.17452195640375437,0.5,0.28424870412765063,0.1301571073221638,0.30000000394665666,
0.9593858720000004,0.207,0.002,0.357,0.231,0.039,0.026,-0.81,1.51,1.95,0.5729529388153398,0.17811435961283242,0.5,0.27886050452142636,0.1318226142516471,0.30000000398649784,
0.9815366260000005,0.211,0.002,0.357,0.224,0.04,0.03,-0.74,1.54,2.04,0.5716993981612186,0.18209705122791342,0.5,0.2742151406487476,0.13444519033581798,0.3000000040199472,
1.0104768269999997,0.217,0.004,0.358,0.214,0.044,0.041,-0.76,1.51,2.5,0.5700204345864145,0.18728732688850683,0.5,0.26743485175990434,0.1364603407503533,0.30000000406819116,
1.0193099970000006,0.217,0.004,0.358,0.214,0.044,0.041,-0.76,1.51,2.5,0.5694984609596279,0.1888684058253736,0.5,0.2669619759719855,0.1375008542483638,0.3000000040677382,
1.0422294140000012,0.222,0.005,0.359,0.208,0.047,0.049,-0.84,1.42,2.7,0.5681234864148625,0.19296395688793064,0.5,0.2613384382698405,0.13949483931710566,0.3000000041077014,
1.059347391000001,0.228,0.006,0.361,0.2,0.051,0.057,-0.93,1.18,2.89,0.5670778741984269,0.1960164989266333,0.5,0.25513867217217084,0.14080203715818915,0.30000000415449907,
1.0814907550000008,0.231,0.007,0.362,0.192,0.05,0.051,-0.93,1.06,2.71,0.5657003829346086,0.19995656037140644,0.5,0.2512698832281051,0.14269232961929293,0.3000000041771783,
1.1378204820000004,0.235,0.008,0.363,0.188,0.053,0.046,-0.92,1.0,2.78,0.5620733372562953,0.20993560424954513,0.5,0.24451097237760241,0.14855041467716157,0.30000000421014,
1.1432778829999997,0.236,0.008,0.364,0.183,0.053,0.046,-0.88,1.04,2.59,0.5617124400700078,0.2108989136515672,0.5,0.24331201113346673,0.14918328567619155,0.30000000421728407,
1.1490666860000012,0.24,0.009,0.365,0.179,0.054,0.046,-0.78,1.13,2.67,0.5613283451465536,0.21192024035763396,0.5,0.23946439434340627,0.14915350407466382,0.3000000042534609,
1.1850559710000006,0.243,0.01,0.366,0.175,0.056,0.046,-0.7,1.22,2.56,0.5588960141238889,0.21825296617474096,0.5,0.23466467187468237,0.15261170479523928,0.3000000042796598,
1.2019903660000004,0.246,0.011,0.367,0.17,0.058,0.047,-0.64,1.24,2.47,0.557727232636132,0.22122334312726002,0.5,0.23099534300658067,0.15386102157501394,0.300000004306198,
1.2068758010000007,0.25,0.012,0.368,0.165,0.059,0.05,-0.64,1.16,2.61,0.5573868886855319,0.22207902439587274,0.5,0.2271883807823781,0.15372195109097853,0.30000000434278434,
1.2193851470000006,0.253,0.013,0.369,0.161,0.061,0.056,-0.72,1.0,2.71,0.5565102638601567,0.22426796737337304,0.5,0.22378054328858824,0.1544578693734804,0.3000000043695869,
1.239308834000001,0.256,0.014,0.37,0.158,0.063,0.061,-0.81,0.82,2.84,0.5550956129804687,0.22774685913990753,0.5,0.2198957389492575,0.15603986553018512,0.3000000043963711,
1.2594029899999999,0.259,0.016,0.371,0.155,0.066,0.057,-0.91,0.69,2.95,0.5536468719585513,0.23124649557004306,0.5,0.21598258938823106,0.15693409210038567,0.3000000044232376,
1.2839565270000008,0.263,0.017,0.372,0.153,0.068,0.05,-0.95,0.62,3.3,0.5518461491726977,0.23551003814388438,0.5,0.21088385868734127,0.15902925119166875,0.300000004460061,
1.3137185569999996,0.267,0.019,0.374,0.149,0.073,0.044,-0.89,0.68,3.62,0.5496200515024712,0.2406594462457887,0.5,0.20541214976583191,0.1610033022733984,0.300000004494436,
1.3212385170000012,0.268,0.02,0.374,0.147,0.074,0.042,-0.84,0.75,3.42,0.5490503075956675,0.24195738091327923,0.5,0.2040331527320943,0.16115316734229815,0.3000000045043174,
1.339855194,0.271,0.021,0.375,0.144,0.076,0.041,-0.73,0.87,3.25,0.5476260674859901,0.2451645151821498,0.5,0.20014891442025626,0.16255380288021337,0.30000000453154196,
1.3670866490000009,0.276,0.023,0.377,0.139,0.078,0.046,-0.61,0.92,3.76,0.5455081499981911,0.2498401983780482,0.5,0.19390369704203195,0.16421487239011923,0.30000000457630915,
1.3797566890000006,0.277,0.024,0.377,0.137,0.078,0.048,-0.6,0.91,3.57,0.5445098557263225,0.252009786854773,0.5,0.19214957806542943,0.16493480885725953,0.30000000458620707,
1.399533271000001,0.281,0.025,0.378,0.137,0.079,0.05,-0.63,0.81,3.8,0.5429335648827692,0.25538791285445284,0.5,0.18726049354486246,0.16644555248017304,0.3000000046238028,
1.4346172809999995,0.284,0.027,0.379,0.134,0.081,0.041,-0.73,0.71,3.84,0.5400852225754958,0.26135621151257715,0.5,0.1821338645211189,0.16894960242881032,0.30000000465114585,
1.4455826280000004,0.286,0.028,0.38,0.127,0.081,0.034,-0.81,0.66,3.64,0.5391816878481346,0.2632151805778052,0.5,0.17959031191411312,0.16946492187753603,0.30000000466878135,
1.460361004000001,0.288,0.03,0.381,0.124,0.084,0.029,-0.81,0.68,3.46,0.5379543976221954,0.265715905513248,0.5,0.1767638824438321,0.16969901672511511,0.3000000046864801,
1.4793930050000004,0.289,0.031,0.381,0.123,0.085,0.027,-0.77,0.73,3.48,0.5363559959138916,0.26892757960007513,0.5,0.17448996413578152,0.17109826528300787,0.30000000469649246,
1.4995477200000007,0.293,0.033,0.382,0.118,0.088,0.026,-0.6,0.94,3.37,0.5346424990788935,0.2723182783970775,0.5,0.16948897741804345,0.17191318044782533,0.30000000473476335,
1.5376665589999998,0.298,0.036,0.382,0.118,0.09,0.03,-0.48,0.98,3.95,0.531342768422868,0.278700963081077,0.5,0.16223071997003666,0.17398123731758508,0.3000000047859476,
1.5710349079999997,0.299,0.037,0.382,0.115,0.09,0.034,-0.47,0.97,3.75,0.5283922361146792,0.28425572141946975,0.5,0.1587857674480073,0.1769078182944543,0.3000000047958621,
1.5888261789999998,0.301,0.038,0.383,0.112,0.091,0.04,-0.53,0.87,3.99,0.5267951741001645,0.28720458985839226,0.5,0.1556450168248609,0.17813194925118653,0.30000000481374817,
1.5977530479999995,0.303,0.04,0.384,0.107,0.092,0.052,-0.6,0.77,3.97,0.5259874668673598,0.2886807332166723,0.5,0.15319112532394294,0.17769382404446477,0.30000000483179323,
1.6218454829999995,0.306,0.042,0.385,0.104,0.092,0.061,-0.67,0.69,3.95,0.523787498556608,0.29265358643935313,0.5,0.1486528518340822,0.17888440103798384,0.3000000048601006,
1.6280524730000003,0.308,0.044,0.386,0.102,0.094,0.069,-0.69,0.63,4.15,0.5232158168003979,0.293674397667456,0.5,0.1464047990733693,0.17814879159903244,0.3000000048782709,
1.6440882680000009,0.31,0.045,0.388,0.098,0.096,0.078,-0.68,0.62,4.11,0.5217294943577507,0.2963063887068473,0.5,0.1433638007927893,0.1791645396686988,0.3000000048936519,
1.6594889160000008,0.312,0.047,0.39,0.096,0.098,0.086,-0.66,0.58,3.89,0.5202902831001645,0.29882745690688145,0.5,0.14036450475382103,0.17940682333284866,0.3000000049090642,
1.6794106959999997,0.314,0.049,0.392,0.093,0.1,0.093,-0.66,0.51,3.9,0.5184098425443824,0.30207786762554484,0.5,0.13698415961077137,0.18012401124283173,0.30000000492442924,
1.70536828,0.317,0.051,0.393,0.097,0.1,0.087,-0.68,0.42,3.94,0.5159287514638654,0.30629502112878876,0.5,0.13220988586998336,0.18147028390194464,0.3000000049529634,
1.7308180330000003,0.319,0.054,0.396,0.094,0.103,0.079,-0.7,0.46,3.83,0.5134638141080867,0.31041044558171593,0.5,0.1283278761425652,0.18204843517399294,0.30000000496560125,
1.739417791000001,0.32,0.055,0.397,0.093,0.104,0.076,-0.68,0.53,3.67,0.5126233583973167,0.311796564456875,0.5,0.12672614288505166,0.1822502133265662,0.3000000049733384,
1.770009279,0.323,0.057,0.398,0.092,0.105,0.072,-0.62,0.73,3.95,0.5096033145976833,0.31670879125347046,0.5,0.12149244861384231,0.1840460749309971,0.30000000500192786,
1.7882137290000006,0.325,0.059,0.4,0.09,0.107,0.069,-0.52,0.93,4.21,0.5077833367559194,0.31961783681572936,0.5,0.11817174612262886,0.1845372858143493,0.3000000050174404,
1.799450397000001,0.327,0.061,0.401,0.087,0.109,0.068,-0.43,1.06,4.41,0.5066521282486097,0.3214085194836689,0.5,0.11544525016812351,0.1843005946162037,0.3000000050358093,
1.8233077519999998,0.329,0.063,0.402,0.082,0.108,0.07,-0.39,1.1,4.37,0.5042285390842547,0.3251965465041658,0.5,0.11160691791527853,0.18536232512533418,0.30000000505400626,
1.8394026750000005,0.33,0.065,0.404,0.078,0.109,0.072,-0.39,1.05,4.37,0.5025781960370297,0.32774221167332923,0.5,0.10931127147107222,0.18561565256426313,0.3000000050589478,
1.8593883509999998,0.332,0.067,0.405,0.076,0.109,0.077,-0.42,0.95,4.39,0.5005105099838514,0.3308912591259619,0.5,0.1057818589458859,0.18626054097904451,0.30000000507724217,
1.8793880940000012,0.334,0.069,0.407,0.072,0.109,0.081,-0.47,0.86,4.37,0.4984216198305334,0.334029466927135,0.5,0.10223554604058369,0.1868976678778302,0.300000005092822,
1.914390087000001,0.336,0.072,0.408,0.069,0.11,0.087,-0.52,0.8,4.34,0.4947180446499126,0.33948958931202444,0.5,0.09730545660858096,0.18834063458889105,0.30000000511091646,
1.9456186290000002,0.337,0.074,0.41,0.066,0.112,0.091,-0.55,0.76,4.35,0.4913636473112044,0.34432672192987035,0.5,0.09355433455466093,0.19007797702082965,0.30000000511565333,
1.9703264230000013,0.338,0.076,0.412,0.065,0.114,0.094,-0.56,0.75,4.16,0.4886766623189579,0.34813073336144407,0.5,0.09037743875592154,0.19114368712798555,0.3000000051205,
1.975153207,0.34,0.078,0.414,0.065,0.116,0.098,-0.55,0.7,3.98,0.4881476769201616,0.3488709762760019,0.5,0.0881727186539978,0.1902221696744506,0.30000000513634256,
2.0078494550000006,0.341,0.081,0.416,0.062,0.118,0.102,-0.57,0.64,4.03,0.4845386381370986,0.3538667946771498,0.5,0.08420975295094003,0.19135808787989012,0.30000000514105374,
2.032126903,0.344,0.082,0.419,0.065,0.115,0.111,-0.57,0.53,4.3,0.4818256381032848,0.3575520374661789,0.5,0.07926335562904249,0.19304471487448796,0.3000000051646951,
2.0375962249999997,0.346,0.085,0.422,0.064,0.12,0.12,-0.65,0.44,4.33,0.4812105312723183,0.35837937415326304,0.5,0.07698596037397465,0.19147832910538887,0.3000000051777886,
2.0574433800000005,0.347,0.088,0.424,0.063,0.122,0.124,-0.69,0.39,4.13,0.47896661801723245,0.3613728029093949,0.5,0.07419411023636258,0.1913143061717867,0.30000000518267467,
