Time,X,Y,Z,Vx,Vy,Vz,r,p,y,rx,ry,rz,Ux,Uy,Uz
0.0,0.018,0.003,0.543,-0.158,0.054,-0.014,1.7,-2.89,2.53,1.73,0.18,0.55,1.499994635477019,0.13246610447775653,0.2981221951025023,
0.02015829100000044,0.015,0.004,0.542,-0.148,0.049,-0.015,1.64,-2.83,2.52,1.73,0.18,0.55,1.4999954586097737,0.13167921479746653,0.29817786620601316,
0.04002142000000042,0.011,0.005,0.542,-0.141,0.045,-0.018,1.59,-2.77,2.65,1.73,0.18,0.55,1.4999963489021733,0.13089232511837792,0.29817786636567434,
0.0632562640000005,0.008,0.007,0.542,-0.132,0.041,-0.017,1.57,-2.74,2.62,1.73,0.18,0.55,1.4999968909121264,0.12931854573533816,0.2981778664632243,
0.07961154000000015,0.005,0.007,0.541,-0.123,0.037,-0.016,1.54,-3.08,2.73,1.73,0.18,0.55,1.4999973451282624,0.12931854574402205,0.2982335375023885,
0.09959340099999991,0.003,0.008,0.541,-0.11,0.033,-0.002,1.47,-4.47,2.72,1.73,0.18,0.55,1.499997606391351,0.12853165605203629,0.29823353754912313,
0.11953663800000047,0.001,0.009,0.542,-0.09,0.028,0.017,1.27,-7.07,2.62,1.73,0.18,0.55,1.4999978387563901,0.1277447663594133,0.2981778666329514,
0.13950944000000032,0.0,0.01,0.542,-0.06,0.025,0.038,1.0,-9.97,2.68,1.73,0.18,0.55,1.4999979451202585,0.1269578766643955,0.29817786665186624,
0.15958929100000052,-0.001,0.01,0.543,-0.021,0.023,0.041,0.75,-12.64,3.01,1.73,0.18,0.55,1.4999980454561677,0.1269578766662191,0.2981221957120911,
0.17965102200000072,-0.001,0.01,0.544,0.023,0.022,0.039,0.65,-14.47,3.32,1.73,0.18,0.55,1.4999980454680877,0.12695787666623545,0.29806652475451645,
0.1995446680000006,0.0,0.011,0.544,0.074,0.023,0.036,0.79,-15.2,3.43,1.73,0.18,0.55,1.4999979451403473,0.1261709869674676,0.29806652473671624,
0.21950984000000062,0.001,0.011,0.545,0.127,0.023,0.033,1.17,-15.04,3.49,1.73,0.18,0.55,1.4999978387822113,0.1261709869655648,0.2980108537602216,
0.2394993310000002,0.004,0.012,0.546,0.179,0.022,0.031,1.7,-14.59,3.55,1.73,0.18,0.55,1.4999974796077888,0.12538409726210573,0.29795518273851884,
0.25953722000000035,0.006,0.013,0.547,0.21,0.023,0.033,2.17,-14.27,3.76,1.73,0.18,0.55,1.499997202524553,0.1245972075601329,0.29789951173123946,
0.28622221999999997,0.01,0.013,0.547,0.26,0.018,0.031,2.38,-14.64,3.85,1.73,0.18,0.55,1.4999965402591158,0.12459720754781665,0.29789951161203804,
0.29964876200000035,0.015,0.014,0.548,0.298,0.015,0.024,2.28,-15.39,4.11,1.73,0.18,0.55,1.4999954583416004,0.12381031783080154,0.29784384046006096,
0.3195679190000007,0.021,0.014,0.549,0.349,0.012,0.008,1.89,-16.38,4.29,1.73,0.18,0.55,1.4999936452488067,0.12381031779732084,0.2977881691845885,
0.33955526400000036,0.029,0.014,0.549,0.403,0.01,-0.007,1.49,-17.13,4.48,1.73,0.18,0.55,1.4999897915051328,0.1238103177298381,0.2977881687707533,
0.3596429830000005,0.037,0.014,0.548,0.46,0.01,-0.018,1.36,-17.44,4.64,1.73,0.18,0.55,1.499981249896778,0.12381031755592889,0.29784384405884656,
0.3796429630000002,0.047,0.014,0.548,0.519,0.01,-0.027,1.55,-17.35,4.77,1.73,0.18,0.55,1.4999995246859033,0.1238103180146433,0.297843832642051,
0.39960455900000014,0.058,0.015,0.547,0.579,0.009,-0.032,1.93,-17.05,4.89,1.73,0.18,0.55,1.499997698644361,0.12302342829939919,0.2978995040391534,
0.4197363850000002,0.071,0.016,0.548,0.639,0.012,-0.025,2.13,-16.85,4.71,1.73,0.18,0.55,1.4999427833015984,0.12223653839641646,0.2978438382557044,
