Time,X,Y,Z,rx,ry,rz,Ux,Uy,Uz
6.061493158,0.0,-0.002,0.33,1.6,-1.2,0.3,-1.5,1.5,0.4290000000000004,
6.071509123,-0.001,-0.002,0.33,1.6,-1.2,0.3,1.1057000000000015,-0.8385999999999999,-0.02100000000000002,
6.08147955,-0.001,-0.002,0.33,1.6,-1.2,0.3,1.1206999999999998,-0.8385999999999999,-0.02100000000000002,
6.091898918,-0.001,-0.002,0.33,1.6,-1.2,0.3,1.1206999999999998,-0.8385999999999999,-0.02100000000000002,
6.101338625,-0.001,-0.002,0.33,1.6,-1.2,0.3,1.1206999999999998,-0.8385999999999999,-0.02100000000000002,
6.11137557,-0.001,-0.002,0.33,1.6,-1.2,0.3,1.1206999999999998,-0.8385999999999999,-0.02100000000000002,
6.121439457,-0.001,-0.001,0.331,1.6,-1.2,0.3,1.1206999999999998,-0.8242999999999984,-0.0067000000000000046,
6.131378651,-0.001,-0.001,0.331,1.6,-1.2,0.3,1.1206999999999998,-0.8393,-0.021700000000000018,
6.141350746,-0.001,-0.001,0.331,1.6,-1.2,0.3,1.1206999999999998,-0.8393,-0.021700000000000018,
6.151422262,-0.001,-0.001,0.332,1.6,-1.2,0.3,1.1206999999999998,-0.8393,-0.007400000000000004,
6.161295176,-0.001,-0.001,0.332,1.6,-1.2,0.3,1.1206999999999998,-0.8393,-0.022400000000000017,
6.171372175,-0.001,-0.001,0.333,1.6,-1.2,0.3,1.1206999999999998,-0.8393,-0.008100000000000007,
6.18133235,0.0,-0.002,0.334,1.6,-1.2,0.3,1.1349999999999982,-0.8536000000000016,-0.008800000000000006,
6.191383839,0.0,-0.002,0.335,1.6,-1.2,0.3,1.1199999999999999,-0.8385999999999999,-0.009500000000000008,
6.201505423,0.0,-0.002,0.335,1.6,-1.2,0.3,1.1199999999999999,-0.8385999999999999,-0.024500000000000022,
6.211272717,0.0,-0.003,0.335,1.6,-1.2,0.3,1.1199999999999999,-0.8528999999999983,-0.024500000000000022,
6.221253395,0.002,-0.005,0.337,1.6,-1.2,0.3,1.1486,-0.8665,0.004100000000000006,
6.231334448,0.003,-0.005,0.337,1.6,-1.2,0.3,1.1328999999999985,-0.8365,-0.02590000000000002,
6.241364002,0.004,-0.006,0.338,1.6,-1.2,0.3,1.1322000000000016,-0.8508000000000016,-0.01160000000000001,
6.25134635,0.004,-0.006,0.338,1.6,-1.2,0.3,1.1172,-0.8357999999999999,-0.026600000000000023,
6.261276007,0.008,-0.01,0.34,1.6,-1.2,0.3,1.1744,-0.893,0.0020000000000000052,
6.271275759,0.008,-0.01,0.34,1.6,-1.2,0.3,1.1144,-0.833,-0.02800000000000002,
6.281300783,0.012,-0.014,0.341,1.6,-1.2,0.3,1.1716,-0.8902,-0.01370000000000001,
6.291203499,0.015,-0.017,0.342,1.6,-1.2,0.3,1.1544999999999985,-0.8730999999999983,-0.01440000000000001,
6.301355839,0.017,-0.019,0.343,1.6,-1.2,0.3,1.1381000000000001,-0.8567,-0.015100000000000013,
6.311448336,0.02,-0.022,0.343,1.6,-1.2,0.3,1.1510000000000016,-0.8696000000000016,-0.030100000000000026,
6.321471214,0.02,-0.022,0.343,1.6,-1.2,0.3,1.1059999999999999,-0.8245999999999999,-0.030100000000000026,
6.331255436,0.027,-0.029,0.345,1.6,-1.2,0.3,1.2060999999999984,-0.9246999999999984,-0.0015000000000007924,
6.341351748,0.03,-0.032,0.346,1.6,-1.2,0.3,1.1440000000000017,-0.8626000000000016,-0.017199999999999972,
6.351380825,0.03,-0.032,0.346,1.6,-1.2,0.3,1.099,-0.8175999999999999,-0.032199999999999986,
6.361452341,0.039,-0.041,0.347,1.6,-1.2,0.3,1.2276999999999985,-0.9462999999999985,-0.01789999999999997,
6.371290684,0.039,-0.041,0.347,1.6,-1.2,0.3,1.0927,-0.8113,-0.032899999999999985,
6.381362677,0.048,-0.047,0.348,1.6,-1.2,0.3,1.2214000000000018,-0.8971,-0.018599999999999978,
6.391338587,0.052,-0.052,0.348,1.6,-1.2,0.3,1.1436,-0.8786000000000016,-0.03359999999999999,
6.401455641,0.057,-0.057,0.348,1.6,-1.2,0.3,1.1550999999999985,-0.8750999999999983,-0.03359999999999999,
6.411375046,0.063,-0.062,0.348,1.6,-1.2,0.3,1.1659000000000002,-0.8716000000000016,-0.03359999999999999,
6.421262741,0.07,-0.068,0.349,1.6,-1.2,0.3,1.1760000000000017,-0.8824,-0.019299999999999977,
6.431226492,0.075,-0.074,0.349,1.6,-1.2,0.3,1.1424999999999985,-0.8782,-0.03429999999999999,
6.441443205,0.081,-0.079,0.349,1.6,-1.2,0.3,1.1533,-0.8596999999999984,-0.03429999999999999,
6.451322079,0.088,-0.085,0.349,1.6,-1.2,0.3,1.1634000000000018,-0.8705,-0.03429999999999999,
6.461224079,0.094,-0.092,0.348,1.6,-1.2,0.3,1.1442,-0.8806000000000016,-0.048600000000000004,
6.471313715,0.101,-0.098,0.348,1.6,-1.2,0.3,1.1542999999999985,-0.8613999999999999,-0.03359999999999999,
6.481307984,0.108,-0.105,0.348,1.6,-1.2,0.3,1.1494000000000018,-0.8714999999999984,-0.03359999999999999,
6.491356135,0.116,-0.112,0.348,1.6,-1.2,0.3,1.1588,-0.8666000000000016,-0.03359999999999999,
6.501196146,0.124,-0.119,0.348,1.6,-1.2,0.3,1.1532,-0.8616999999999984,-0.03359999999999999,
6.511327744,0.132,-0.126,0.348,1.6,-1.2,0.3,1.1476,-0.8568000000000016,-0.03359999999999999,
6.521384478,0.141,-0.131,0.35,1.6,-1.2,0.3,1.1562999999999986,-0.8232999999999984,-0.004999999999999963,
