Time,X,Y,Z,rx,ry,rz,Ux,Uy,Uz
5.956051588,-0.003,0.006,0.326,-0.17751393715222424,0.5731386857856091,0.3,1.5,-1.5,0.37180000000000035,
5.966141224,-0.003,0.006,0.326,-0.1793297519494908,0.5725731377534018,0.3,-0.09619360440564519,0.405084416910491,-0.018200000000000015,
5.976153136,-0.003,0.006,0.326,-0.18112979644380398,0.5720062550552508,0.3,-0.09769019009596516,0.40470761901094016,-0.018200000000000015,
5.9860839850000005,-0.003,0.006,0.326,-0.1829134947642716,0.5714383666841787,0.3,-0.09918397152797573,0.4043251822450071,-0.018200000000000015,
5.996150732,-0.003,0.006,0.326,-0.18471978756224733,0.5708570389057832,0.3,-0.1001094593239372,0.4041198439099804,-0.018200000000000015,
6.005937577,-0.003,0.006,0.326,-0.18647408062085782,0.5702863843947966,0.3,-0.10211746055544305,0.40356028674115646,-0.018200000000000015,
6.015996456,-0.003,0.006,0.326,-0.18827530392859756,0.5696942662043221,0.3,-0.10267436313392217,0.40346775920014377,-0.018200000000000015,
6.026026488,-0.003,0.006,0.326,-0.19006948913280053,0.5690981799960989,0.3,-0.1040358643299159,0.40311001912061656,-0.018200000000000015,
6.036053658,-0.003,0.006,0.326,-0.19186127596498534,0.5684966156163674,0.3,-0.10532609069271756,0.4027710966274292,-0.018200000000000015,
6.046136141,-0.003,0.006,0.325,-0.19366102833995308,0.5678860481664061,0.3,-0.10646643421345106,0.4024787454659045,-0.03250000000000003,
6.056095124,-0.003,0.006,0.325,-0.19543682562998804,0.5672773585607582,0.3,-0.10806881859046716,0.40202449507724863,-0.017500000000000016,
6.066158295,-0.003,0.006,0.325,-0.19722925980082437,0.5666566672017682,0.3,-0.10907396929803215,0.4017700374260879,-0.017500000000000016,
6.076147557,-0.003,0.006,0.325,-0.1990065782792507,0.5660349285403121,0.3,-0.11054482761908058,0.40135052990005987,-0.017500000000000016,
6.086238861,-0.003,0.007,0.326,-0.20080006468882952,0.5654011852558739,0.3,-0.11155774913849825,0.41538697894568494,-0.0032000000000000015,
6.096145392,-0.003,0.007,0.326,-0.20255874482206854,0.5647735061471792,0.3,-0.11331091937686272,0.3998566409334453,-0.018200000000000015,
6.106107235,-0.003,0.007,0.326,-0.2043252672385382,0.5641368100590453,0.3,-0.11442985081993187,0.39954620836334154,-0.018200000000000015,
6.116289854,-0.003,0.007,0.327,-0.20612887657356496,0.5634803076344853,0.3,-0.11513607357609396,0.39938375171253887,-0.0039000000000000007,
6.126327515,-0.004,0.008,0.328,-0.20790474220523136,0.5628274980136042,0.3,-0.13109533506866594,0.41317139292273947,-0.004600000000000003,
6.1361358169999995,-0.004,0.008,0.328,-0.20963802672004322,0.5621841827430915,0.3,-0.11794735098185233,0.3975786569778553,-0.019600000000000017,
6.14610529,-0.004,0.009,0.329,-0.21139775707014957,0.56152483778414,0.3,-0.11878247469750947,0.4116575608331702,-0.005300000000000003,
6.156160593,-0.004,0.01,0.329,-0.2131705388788612,0.5608542421603209,0.3,-0.11982765008452842,0.41065690386951115,-0.020300000000000016,
6.166261435,-0.004,0.01,0.329,-0.2149492088989048,0.5601749779014803,0.3,-0.12098439592857951,0.3953114484136448,-0.020300000000000016,
6.176311016,-0.004,0.01,0.33,-0.21671670312105887,0.559493559742434,0.3,-0.12238927885242998,0.39486676420539857,-0.006000000000000005,
