Time,X,Y,Z,Vx,Vy,Vz,r,p,y
13.602232217,-0.04,-0.003,0.14,-0.112,0.007,0.027,-2.26,-5.67,165.27
13.622179508,-0.042,-0.003,0.141,-0.12,0.008,0.029,-2.23,-5.58,165.44
13.642273426,-0.045,-0.003,0.141,-0.117,0.006,0.028,-2.19,-5.39,165.67
13.662269115,-0.047,-0.003,0.142,-0.114,0.006,0.031,-2.15,-5.12,165.91
13.682613849,-0.049,-0.002,0.142,-0.111,0.005,0.033,-2.12,-4.83,166.18
13.702271699,-0.051,-0.002,0.143,-0.108,0.004,0.028,-2.09,-4.5,166.48
13.722261667,-0.053,-0.002,0.143,-0.106,0.003,0.022,-2.06,-4.2,166.79
13.742243289,-0.055,-0.002,0.143,-0.104,0.003,0.02,-2.02,-3.87,167.12
13.762325048,-0.056,-0.002,0.144,-0.104,0.002,0.019,-1.99,-3.61,167.45
13.782263517,-0.058,-0.002,0.144,-0.105,0.001,0.016,-1.97,-3.38,167.75
13.802160501,-0.06,-0.002,0.144,-0.106,0,0.012,-1.96,-3.21,168.05
13.822194337,-0.062,-0.002,0.144,-0.107,-0.002,0.01,-1.96,-3.05,168.33
13.842210054,-0.064,-0.002,0.144,-0.111,-0.004,0.011,-1.95,-2.94,168.62
13.862301111,-0.066,-0.002,0.144,-0.118,-0.004,0.009,-1.95,-2.96,168.91
13.882231712,-0.069,-0.002,0.145,-0.122,-0.005,0.007,-1.94,-3.08,169.19
13.902368307,-0.071,-0.002,0.145,-0.122,-0.006,0.006,-1.91,-3.18,169.47
13.92233181,-0.074,-0.002,0.145,-0.123,-0.009,0.009,-1.89,-3.3,169.78
13.942199707,-0.078,0.002,0.139,-0.124,0.004,-0.022,-1.75,-3.43,170.26
13.962370157,-0.081,0.002,0.139,-0.124,0,-0.017,-1.75,-3.54,170.57
13.982439994,-0.082,0.003,0.137,-0.116,-0.001,-0.024,-1.72,-3.53,171.03
14.002597093,-0.085,0.003,0.136,-0.111,-0.002,-0.024,-1.7,-3.46,171.44
14.022318601,-0.087,0.003,0.136,-0.107,-0.002,-0.021,-1.68,-3.38,171.77
14.042232275,-0.09,0.003,0.136,-0.101,-0.003,-0.022,-1.65,-3.29,172.1
14.062218427,-0.091,0.003,0.135,-0.093,-0.006,-0.027,-1.64,-3.12,172.23
14.082214117,-0.093,0.003,0.134,-0.09,-0.009,-0.025,-1.67,-2.92,172.24
14.102497339,-0.097,0.003,0.136,-0.096,-0.01,-0.007,-1.69,-2.79,172.46
14.122205495,-0.1,0.003,0.137,-0.098,-0.009,0.002,-1.68,-2.62,172.67
14.142464637,-0.1,0.003,0.137,-0.092,-0.009,-0.003,-1.66,-2.4,172.99
14.16217494,-0.102,0.003,0.137,-0.09,-0.009,-0.004,-1.64,-2.28,173.29
14.182278394,-0.103,0.004,0.136,-0.09,-0.01,-0.01,-1.63,-2.19,173.35
14.202293157,-0.105,0.003,0.136,-0.09,-0.013,-0.011,-1.66,-2.16,173.28
14.222242116,-0.107,0.003,0.136,-0.097,-0.013,-0.006,-1.66,-2.25,173.57
14.242536783,-0.111,0.003,0.138,-0.099,-0.014,0.002,-1.67,-2.39,173.69
14.262176036,-0.114,0.003,0.139,-0.1,-0.014,0.009,-1.67,-2.52,173.85
14.28215003,-0.114,0.003,0.137,-0.088,-0.012,-0.006,-1.65,-2.57,173.89
14.302177906,-0.115,0.004,0.136,-0.082,-0.01,-0.015,-1.63,-2.67,173.97
14.322272777,-0.118,0.003,0.137,-0.087,-0.012,-0.003,-1.65,-2.86,174.16
14.342326402,-0.119,0.003,0.136,-0.077,-0.012,-0.013,-1.63,-2.96,174.26
14.362318992,-0.121,0.003,0.135,-0.076,-0.013,-0.013,-1.65,-3.05,174.2
14.382257461,-0.122,0.003,0.135,-0.074,-0.014,-0.012,-1.66,-3.18,174.14
14.402407884,-0.124,0.003,0.136,-0.08,-0.011,-0.004,-1.61,-3.36,174.52
14.422302722,-0.126,0.003,0.136,-0.077,-0.013,-0.004,-1.62,-3.46,174.46
14.442404031,-0.129,0.003,0.138,-0.082,-0.014,0.01,-1.62,-3.59,174.69
14.462363719,-0.129,0.003,0.137,-0.077,-0.012,0.004,-1.59,-3.65,175.05
14.482336521,-0.13,0.004,0.136,-0.071,-0.011,-0.002,-1.57,-3.67,175.15
14.502410411,-0.132,0.003,0.136,-0.07,-0.014,-0.001,-1.61,-3.69,175.07
14.522314548,-0.134,0.003,0.137,-0.072,-0.014,-0.001,-1.61,-3.74,175.44
14.542203187,-0.135,0.003,0.137,-0.072,-0.016,-0.001,-1.64,-3.75,175.35
14.562264204,-0.136,0.003,0.136,-0.071,-0.014,-0.009,-1.64,-3.77,175.44
14.582416534,-0.138,0.003,0.135,-0.072,-0.015,-0.009,-1.67,-3.8,175.31
14.603135585,-0.139,0.003,0.136,-0.078,-0.014,-0.002,-1.66,-3.89,175.66
14.622356176,-0.142,0.003,0.138,-0.084,-0.015,0.007,-1.68,-3.99,175.82
14.642175197,-0.145,0.003,0.139,-0.091,-0.016,0.015,-1.68,-4.12,175.95
14.66220951,-0.147,0.003,0.14,-0.093,-0.016,0.019,-1.68,-4.25,176.08
14.68223071,-0.146,0.002,0.138,-0.082,-0.016,0.005,-1.68,-4.25,176.35
14.702252388,-0.148,0.002,0.139,-0.086,-0.017,0.005,-1.73,-4.36,176.2
14.722436189,-0.151,0.002,0.14,-0.095,-0.02,0.012,-1.76,-4.52,176.33
14.742237806,-0.153,0.001,0.14,-0.099,-0.02,0.016,-1.78,-4.63,176.48
14.762248039,-0.153,0.002,0.139,-0.096,-0.016,-0.001,-1.76,-4.67,176.75
14.782411575,-0.155,0.001,0.139,-0.1,-0.018,-0.001,-1.81,-4.78,176.6
14.802224636,-0.157,0.002,0.138,-0.106,-0.017,-0.01,-1.8,-4.88,176.9
14.822391986,-0.159,0.001,0.137,-0.111,-0.02,-0.009,-1.86,-4.95,176.73
14.842211723,-0.162,0.001,0.137,-0.114,-0.023,-0.009,-1.93,-5.04,176.55
14.862156391,-0.164,0.001,0.136,-0.119,-0.021,-0.017,-1.98,-5.12,176.56
14.882332801,-0.168,0.001,0.137,-0.127,-0.025,-0.002,-2.05,-5.22,176.63
14.90217185,-0.17,0,0.136,-0.121,-0.029,-0.009,-2.14,-5.17,176.65
14.922142982,-0.172,0,0.136,-0.121,-0.031,-0.001,-2.24,-5.07,176.94
14.94224286,-0.175,0,0.136,-0.118,-0.034,0.001,-2.38,-4.83,176.78
14.962208747,-0.177,0,0.137,-0.119,-0.033,0.008,-2.48,-4.59,177.09
14.982307672,-0.179,-0.001,0.137,-0.119,-0.03,0.01,-2.54,-4.33,177.38
15.002225637,-0.181,-0.001,0.138,-0.116,-0.027,0.011,-2.58,-4.04,177.67
15.02216053,-0.183,-0.002,0.138,-0.108,-0.026,0.011,-2.62,-3.66,177.62
15.042399883,-0.186,-0.002,0.139,-0.111,-0.025,0.021,-2.63,-3.25,177.84
15.062591552,-0.186,-0.002,0.139,-0.104,-0.024,0.015,-2.61,-2.88,178.25
15.082196712,-0.188,-0.002,0.139,-0.103,-0.023,0.01,-2.59,-2.56,178.59
15.102203845,-0.189,-0.003,0.139,-0.106,-0.023,0.007,-2.57,-2.37,178.87
15.122220277,-0.191,-0.003,0.139,-0.108,-0.023,0.006,-2.56,-2.29,179.11
15.142296075,-0.193,-0.003,0.139,-0.109,-0.025,0.006,-2.56,-2.31,179.04
15.162325143,-0.196,-0.003,0.14,-0.114,-0.026,0.012,-2.56,-2.46,179.17
15.182123422,-0.197,-0.004,0.139,-0.107,-0.025,-0.001,-2.54,-2.61,179.23
15.202155828,-0.198,-0.004,0.138,-0.105,-0.024,-0.009,-2.52,-2.87,179.27
15.222236394,-0.201,-0.004,0.139,-0.108,-0.024,0,-2.51,-3.24,179.38
15.242205619,-0.204,-0.004,0.14,-0.109,-0.023,0.007,-2.5,-3.55,179.47
15.262207031,-0.204,-0.004,0.139,-0.104,-0.021,0.002,-2.47,-3.82,179.66
15.282253026,-0.207,-0.004,0.14,-0.107,-0.022,0.008,-2.46,-4.11,179.73
15.302287578,-0.209,-0.005,0.141,-0.108,-0.022,0.011,-2.43,-4.38,179.83
15.322306633,-0.212,-0.005,0.141,-0.108,-0.024,0.012,-2.43,-4.61,179.73
15.34224677,-0.211,-0.005,0.138,-0.091,-0.021,-0.009,-2.38,-4.65,179.81
15.362330675,-0.213,-0.005,0.137,-0.088,-0.019,-0.018,-2.34,-4.8,179.93
15.382555961,-0.214,-0.005,0.136,-0.087,-0.017,-0.022,-2.28,-4.88,-179.94
15.402335405,-0.216,-0.005,0.136,-0.091,-0.016,-0.024,-2.23,-4.93,-179.76
15.422397375,-0.218,-0.006,0.135,-0.095,-0.017,-0.024,-2.19,-4.98,-179.72
15.442242383,-0.22,-0.006,0.135,-0.103,-0.016,-0.025,-2.11,-5.03,-179.45
15.462276935,-0.222,-0.006,0.134,-0.112,-0.018,-0.024,-2.04,-5.1,-179.15
15.482312917,-0.225,-0.006,0.134,-0.119,-0.021,-0.023,-1.98,-5.13,-178.8
15.502251386,-0.227,-0.007,0.133,-0.127,-0.024,-0.023,-1.95,-5.15,-178.67
15.522370815,-0.23,-0.007,0.133,-0.133,-0.026,-0.024,-1.9,-5.19,-178.5
15.542540788,-0.233,-0.008,0.132,-0.138,-0.029,-0.025,-1.87,-5.19,-178.31
15.562205314,-0.235,-0.009,0.132,-0.142,-0.031,-0.024,-1.82,-5.16,-178.14
15.582288503,-0.239,-0.007,0.137,-0.157,-0.03,0.012,-1.73,-5.2,-177.65
15.602281808,-0.243,-0.008,0.139,-0.163,-0.035,0.023,-1.71,-5.17,-177.18
15.622265338,-0.246,-0.008,0.14,-0.163,-0.041,0.024,-1.74,-5.04,-177.06
15.642404317,-0.25,-0.009,0.141,-0.169,-0.047,0.028,-1.79,-4.9,-176.56
15.662323951,-0.253,-0.01,0.142,-0.171,-0.05,0.028,-1.8,-4.7,-176.15
15.682317733,-0.256,-0.011,0.142,-0.173,-0.053,0.03,-1.83,-4.51,-175.81
15.702297449,-0.26,-0.012,0.143,-0.174,-0.057,0.031,-1.9,-4.3,-175.83
15.722328186,-0.263,-0.013,0.143,-0.171,-0.057,0.026,-1.95,-4.03,-175.48
15.742390871,-0.266,-0.014,0.143,-0.17,-0.055,0.019,-1.98,-3.78,-175.11
15.762320518,-0.269,-0.015,0.143,-0.169,-0.054,0.015,-1.99,-3.52,-174.72
15.782694578,-0.27,-0.016,0.14,-0.156,-0.051,-0.005,-1.96,-3.17,-174.06
15.802228927,-0.273,-0.017,0.14,-0.156,-0.053,-0.002,-1.95,-2.89,-173.65
15.822205543,-0.276,-0.018,0.141,-0.156,-0.058,0,-2.01,-2.59,-173.3
15.842265844,-0.279,-0.019,0.141,-0.157,-0.058,0,-2.07,-2.28,-173.02
15.862235784,-0.283,-0.02,0.141,-0.157,-0.056,0,-2.11,-1.99,-173.06
15.882392168,-0.286,-0.021,0.141,-0.155,-0.054,-0.003,-2.13,-1.64,-173.08
15.90252757,-0.288,-0.022,0.141,-0.155,-0.05,-0.002,-2.1,-1.26,-172.76
15.92226839,-0.291,-0.023,0.141,-0.155,-0.049,0,-2.04,-0.96,-172.43
15.94230175,-0.295,-0.024,0.141,-0.152,-0.053,0,-2.01,-0.65,-172.42
15.962398529,-0.297,-0.023,0.138,-0.144,-0.05,-0.016,-1.95,-0.32,-171.89
15.982415199,-0.299,-0.024,0.137,-0.142,-0.053,-0.019,-1.97,-0.12,-171.47
16.002348184,-0.302,-0.025,0.137,-0.139,-0.056,-0.022,-2.01,0,-171.12
16.022325515,-0.305,-0.026,0.136,-0.134,-0.057,-0.023,-2.07,0.11,-170.77
16.042295694,-0.308,-0.027,0.136,-0.132,-0.058,-0.021,-2.11,0.14,-170.45
16.062327623,-0.312,-0.028,0.137,-0.134,-0.06,-0.016,-2.17,0.06,-170.4
16.082505226,-0.314,-0.029,0.136,-0.133,-0.058,-0.017,-2.19,-0.14,-170.25
16.102286815,-0.317,-0.03,0.136,-0.131,-0.059,-0.018,-2.22,-0.39,-170.43
16.122374773,-0.32,-0.031,0.135,-0.129,-0.056,-0.024,-2.23,-0.7,-170.4
