Time,X,Y,Z,Vx,Vy,Vz,r,p,y
11.582743884,-0.962,0.013,0.137,0.001,0.019,0,0.2,-1.73,-5.22
11.602783919,-0.963,0.012,0.137,0.005,0.017,-0.001,0.22,-1.96,-5.29
11.622806073,-0.963,0.013,0.137,0.014,0.018,-0.002,0.21,-2.3,-5.28
11.642860175,-0.962,0.013,0.137,0.026,0.018,-0.003,0.22,-2.77,-5.29
11.662793875,-0.961,0.013,0.137,0.041,0.017,-0.003,0.24,-3.37,-5.34
11.683262587,-0.96,0.013,0.137,0.058,0.015,-0.004,0.25,-4.09,-5.36
11.702821732,-0.959,0.013,0.137,0.068,0.016,-0.006,0.26,-4.54,-5.38
11.722872258,-0.957,0.013,0.137,0.069,0.012,-0.001,0.32,-5.24,-5.59
11.742770672,-0.956,0.013,0.137,0.063,0.013,0.004,0.3,-5.45,-5.62
11.762810469,-0.955,0.013,0.137,0.073,0.017,0.004,0.27,-5.67,-5.71
11.78281045,-0.953,0.013,0.138,0.076,0.017,0.009,0.34,-5.79,-5.82
11.802888871,-0.951,0.014,0.138,0.081,0.017,0.014,0.3,-5.87,-5.86
11.822748423,-0.95,0.014,0.139,0.08,0.021,0.017,0.23,-5.81,-5.84
11.842771531,-0.948,0.014,0.139,0.078,0.024,0.019,0.23,-5.75,-5.82
11.862821341,-0.946,0.015,0.14,0.075,0.027,0.022,0.21,-5.54,-5.86
11.882967711,-0.945,0.015,0.14,0.075,0.028,0.024,0.18,-5.28,-5.85
11.902827502,-0.944,0.016,0.141,0.067,0.031,0.026,0.13,-4.94,-5.9
11.922791005,-0.942,0.016,0.142,0.068,0.032,0.027,0.11,-4.62,-5.95
11.942741156,-0.941,0.017,0.143,0.064,0.034,0.029,0.09,-4.26,-6.03
11.962796927,-0.94,0.017,0.143,0.066,0.035,0.03,0.07,-3.96,-6.09
11.982808114,-0.938,0.018,0.144,0.067,0.037,0.03,0.03,-3.73,-6.18
12.002809525,-0.937,0.019,0.145,0.065,0.038,0.03,0.02,-3.51,-6.28
12.022804499,-0.936,0.019,0.146,0.064,0.04,0.031,0,-3.39,-6.42
12.042757988,-0.935,0.02,0.146,0.068,0.04,0.032,0,-3.37,-6.58
12.062684536,-0.933,0.021,0.147,0.068,0.042,0.032,0.01,-3.41,-6.8
12.082778693,-0.932,0.022,0.148,0.068,0.044,0.033,0,-3.56,-6.94
12.102860928,-0.931,0.022,0.149,0.061,0.048,0.036,-0.01,-3.58,-7.07
12.122945071,-0.929,0.023,0.15,0.062,0.052,0.037,-0.02,-3.63,-7.15
12.142769099,-0.928,0.024,0.151,0.061,0.055,0.038,-0.03,-3.68,-7.13
12.162799836,-0.927,0.025,0.151,0.06,0.057,0.04,-0.04,-3.72,-7.12
12.182775498,-0.926,0.026,0.152,0.058,0.059,0.042,-0.04,-3.74,-7.13
12.202829838,-0.925,0.027,0.153,0.058,0.062,0.043,-0.04,-3.73,-7.14
12.222793103,-0.924,0.028,0.154,0.059,0.064,0.044,-0.04,-3.77,-7.14
12.242830754,-0.923,0.029,0.155,0.062,0.065,0.046,-0.04,-3.81,-7.13
12.262809039,-0.921,0.03,0.156,0.066,0.067,0.047,-0.05,-3.89,-7.09
12.282747508,-0.92,0.031,0.157,0.071,0.068,0.048,-0.06,-3.97,-7.07
12.30317092,-0.919,0.032,0.158,0.083,0.068,0.047,-0.07,-4.25,-7.04
12.322826863,-0.917,0.034,0.159,0.088,0.067,0.048,-0.07,-4.55,-7.08
12.342870474,-0.916,0.035,0.16,0.097,0.067,0.049,-0.06,-4.82,-7.1
12.362828255,-0.914,0.036,0.161,0.106,0.068,0.05,-0.04,-5.26,-7.15
12.382749558,-0.912,0.037,0.162,0.111,0.069,0.053,-0.03,-5.64,-7.2
12.402753354,-0.91,0.038,0.164,0.117,0.068,0.057,-0.03,-5.87,-7.31
12.42282033,-0.907,0.039,0.165,0.124,0.069,0.058,-0.04,-6.1,-7.44
12.442809344,-0.905,0.04,0.166,0.131,0.07,0.06,-0.04,-6.36,-7.56
12.46275878,-0.903,0.041,0.167,0.135,0.072,0.062,-0.04,-6.63,-7.66
12.48275733,-0.9,0.042,0.168,0.132,0.075,0.065,-0.03,-6.71,-7.77
12.502716303,-0.898,0.043,0.169,0.139,0.077,0.067,-0.04,-6.87,-7.76
12.522826434,-0.896,0.044,0.17,0.139,0.078,0.069,-0.05,-6.94,-7.86
12.54340005,-0.894,0.045,0.172,0.14,0.079,0.071,-0.1,-6.99,-7.87
12.56277299,-0.891,0.046,0.173,0.141,0.082,0.073,-0.1,-7,-7.95
12.582724572,-0.889,0.047,0.174,0.139,0.082,0.077,-0.08,-6.88,-8.06
12.602747441,-0.887,0.048,0.175,0.14,0.084,0.078,-0.11,-6.74,-8.1
12.622798443,-0.885,0.049,0.176,0.139,0.086,0.079,-0.11,-6.65,-8.16
12.642804385,-0.883,0.05,0.177,0.142,0.087,0.082,-0.11,-6.52,-8.26
12.662950993,-0.881,0.051,0.179,0.144,0.088,0.083,-0.13,-6.38,-8.33
12.682968379,-0.879,0.052,0.18,0.15,0.088,0.082,-0.16,-6.27,-8.4
12.702884436,-0.876,0.053,0.181,0.152,0.092,0.081,-0.18,-6.2,-8.49
12.7229352,-0.873,0.055,0.183,0.159,0.095,0.08,-0.19,-6.21,-8.58
12.742822886,-0.87,0.057,0.185,0.163,0.098,0.081,-0.2,-6.25,-8.69
12.762981654,-0.867,0.059,0.186,0.169,0.101,0.081,-0.24,-6.22,-8.81
12.782932759,-0.863,0.061,0.188,0.177,0.104,0.079,-0.29,-6.24,-8.93
12.803596974,-0.859,0.063,0.19,0.183,0.108,0.078,-0.31,-6.33,-9.05
12.822760582,-0.856,0.066,0.191,0.19,0.111,0.079,-0.32,-6.45,-9.17
12.843117953,-0.852,0.068,0.193,0.2,0.114,0.077,-0.35,-6.54,-9.27
12.862795592,-0.848,0.07,0.194,0.208,0.117,0.076,-0.39,-6.68,-9.36
12.882864476,-0.843,0.073,0.196,0.216,0.12,0.077,-0.4,-6.82,-9.47
12.903015137,-0.839,0.075,0.197,0.227,0.122,0.076,-0.41,-6.98,-9.55
12.92286563,-0.834,0.077,0.199,0.233,0.125,0.077,-0.41,-7.11,-9.63
12.942961216,-0.83,0.08,0.2,0.242,0.129,0.078,-0.44,-7.18,-9.7
12.962805987,-0.825,0.083,0.202,0.251,0.132,0.077,-0.47,-7.3,-9.74
12.982825518,-0.82,0.085,0.204,0.257,0.136,0.078,-0.49,-7.34,-9.8
13.00285244,-0.814,0.088,0.205,0.266,0.139,0.079,-0.5,-7.36,-9.82
13.022845269,-0.809,0.091,0.207,0.273,0.143,0.079,-0.51,-7.37,-9.83
13.042874337,-0.803,0.094,0.208,0.279,0.147,0.081,-0.52,-7.32,-9.84
13.062787533,-0.798,0.097,0.21,0.289,0.15,0.081,-0.54,-7.27,-9.83
