Time,X,Y,Z,Vx,Vy,Vz,r,p,y
5.562970877,-0.077,0.597,0.135,-0.18,-0.046,0.013,-0.62,-6.28,-173.71
5.58287549,-0.08,0.596,0.135,-0.179,-0.046,0.015,-0.64,-6.02,-173.12
5.602784396,-0.084,0.595,0.135,-0.18,-0.047,0.018,-0.69,-5.72,-172.91
5.623146057,-0.087,0.594,0.135,-0.175,-0.044,0.023,-0.69,-5.28,-172.68
5.642789841,-0.091,0.593,0.136,-0.178,-0.04,0.024,-0.68,-4.82,-172.46
5.66289568,-0.095,0.593,0.136,-0.178,-0.041,0.019,-0.63,-4.38,-172.25
5.682954788,-0.098,0.592,0.137,-0.178,-0.048,0.021,-0.68,-3.96,-172.08
5.702891589,-0.102,0.591,0.137,-0.178,-0.052,0.023,-0.71,-3.6,-171.95
5.7231915,-0.105,0.589,0.138,-0.178,-0.058,0.018,-0.75,-3.32,-171.84
5.742990494,-0.109,0.588,0.138,-0.175,-0.059,0.013,-0.78,-3.05,-171.72
5.762953043,-0.112,0.587,0.138,-0.173,-0.058,0.014,-0.76,-2.74,-171.58
5.783351898,-0.112,0.587,0.137,-0.16,-0.05,0.011,-0.68,-2.36,-170.96
5.803184748,-0.115,0.585,0.138,-0.158,-0.048,0.005,-0.6,-2.15,-170.37
5.822898627,-0.118,0.584,0.138,-0.155,-0.049,0.002,-0.54,-1.96,-170.25
5.842978478,-0.12,0.584,0.138,-0.154,-0.052,0.002,-0.52,-1.86,-170.2
5.86290288,-0.123,0.583,0.138,-0.152,-0.058,0.007,-0.51,-1.71,-170.16
5.882752657,-0.127,0.581,0.138,-0.146,-0.069,0.006,-0.54,-1.52,-170.12
5.902837515,-0.13,0.579,0.138,-0.142,-0.073,0.002,-0.59,-1.41,-170.05
5.922900677,-0.133,0.578,0.138,-0.141,-0.074,0,-0.63,-1.29,-169.99
5.943118573,-0.136,0.576,0.138,-0.14,-0.075,0.002,-0.64,-1.19,-169.99
5.96299243,-0.139,0.575,0.138,-0.14,-0.076,0.002,-0.63,-1.09,-170.05
5.983091831,-0.141,0.573,0.138,-0.139,-0.079,0,-0.63,-1.06,-170.1
6.00285244,-0.144,0.572,0.138,-0.135,-0.085,0,-0.67,-1.03,-170.14
6.022814989,-0.147,0.57,0.138,-0.133,-0.091,0.005,-0.75,-1,-170.23
6.042932034,-0.149,0.568,0.139,-0.131,-0.094,0.004,-0.84,-1,-170.4
6.063807488,-0.152,0.566,0.139,-0.13,-0.096,0.001,-0.93,-1.05,-170.61
6.083186865,-0.155,0.564,0.139,-0.127,-0.096,0.001,-0.99,-1.16,-170.81
6.102973223,-0.157,0.562,0.139,-0.124,-0.097,0.004,-1.07,-1.27,-171.06
6.122979641,-0.16,0.56,0.139,-0.117,-0.098,0.005,-1.14,-1.41,-171.32
6.142909766,-0.162,0.558,0.139,-0.103,-0.098,0.005,-1.21,-1.38,-171.59
6.162964344,-0.164,0.556,0.139,-0.088,-0.099,0.01,-1.27,-1.21,-171.8
6.183619499,-0.165,0.554,0.139,-0.074,-0.1,0.012,-1.35,-0.9,-171.99
6.202865601,-0.167,0.552,0.14,-0.064,-0.1,0.012,-1.41,-0.52,-172.18
6.22290206,-0.168,0.55,0.14,-0.055,-0.099,0.007,-1.46,-0.14,-172.34
6.242875576,-0.169,0.548,0.14,-0.05,-0.099,0.006,-1.5,0.22,-172.52
6.262919426,-0.17,0.546,0.14,-0.047,-0.1,0.006,-1.52,0.44,-172.71
6.282962323,-0.171,0.544,0.14,-0.046,-0.102,0.004,-1.55,0.54,-172.96
6.30295229,-0.172,0.542,0.14,-0.045,-0.104,0.001,-1.56,0.47,-173.23
6.322963238,-0.173,0.54,0.14,-0.051,-0.107,0.001,-1.58,0.22,-173.48
6.342886448,-0.174,0.538,0.14,-0.068,-0.112,0,-1.62,-0.55,-173.7
6.362757683,-0.175,0.536,0.14,-0.083,-0.117,-0.007,-1.66,-1.78,-173.97
6.382867098,-0.177,0.533,0.14,-0.069,-0.115,-0.012,-1.71,-2.98,-174.38
6.40286541,-0.178,0.531,0.14,-0.046,-0.114,-0.004,-1.65,-3.66,-174.71
6.422794342,-0.179,0.529,0.14,-0.039,-0.121,0.005,-1.66,-3.97,-174.96
6.442853928,-0.18,0.526,0.14,-0.036,-0.131,0.003,-1.7,-4.14,-175.15
6.462869406,-0.181,0.523,0.14,-0.037,-0.137,0,-1.76,-4.23,-175.29
6.482976675,-0.181,0.521,0.14,-0.038,-0.139,0,-1.81,-4.31,-175.41
6.502930641,-0.182,0.518,0.14,-0.041,-0.142,0.002,-1.84,-4.39,-175.48
6.522966862,-0.183,0.515,0.14,-0.043,-0.146,0.001,-1.85,-4.41,-175.5
6.542933226,-0.184,0.512,0.14,-0.047,-0.151,0.001,-1.85,-4.38,-175.52
6.562967539,-0.185,0.509,0.14,-0.051,-0.156,0.001,-1.85,-4.31,-175.49
6.582949877,-0.186,0.506,0.14,-0.055,-0.162,0.001,-1.86,-4.26,-175.45
6.602992535,-0.187,0.502,0.14,-0.058,-0.166,0,-1.84,-4.17,-175.38
6.622955084,-0.188,0.499,0.14,-0.063,-0.17,0.001,-1.84,-4.07,-175.32
6.642829418,-0.19,0.496,0.14,-0.069,-0.174,0.001,-1.81,-4.05,-175.24
6.663214922,-0.191,0.492,0.14,-0.076,-0.178,0,-1.79,-4.07,-175.15
6.682802439,-0.193,0.488,0.14,-0.082,-0.182,0,-1.76,-4.17,-175.07
6.702901602,-0.194,0.485,0.14,-0.089,-0.187,0,-1.73,-4.32,-175.01
6.722885847,-0.196,0.481,0.14,-0.093,-0.192,-0.001,-1.69,-4.51,-174.92
6.742804528,-0.198,0.477,0.14,-0.097,-0.199,-0.001,-1.66,-4.75,-174.85
6.763116122,-0.205,0.52,0.152,-0.098,-0.139,0.022,-1.27,-5.03,-172.35
6.783004046,-0.207,0.517,0.152,-0.101,-0.146,0.023,-1.3,-5.28,-172.34
6.802829027,-0.211,0.518,0.152,-0.11,-0.144,0.022,-1.2,-5.6,-170.37
6.822791338,-0.215,0.518,0.151,-0.119,-0.14,0.02,-1.12,-5.98,-168.87
6.842940808,-0.219,0.518,0.15,-0.124,-0.135,0.019,-1.06,-6.23,-167.66
6.86312747,-0.22,0.517,0.15,-0.125,-0.136,0.021,-1.08,-6.33,-167.69
6.883544207,-0.225,0.515,0.15,-0.13,-0.137,0.024,-1.05,-6.4,-166.65
6.902938605,-0.228,0.513,0.15,-0.132,-0.136,0.027,-1.02,-6.34,-165.67
6.922840119,-0.23,0.511,0.151,-0.132,-0.136,0.03,-1.01,-6.12,-164.79
6.942886114,-0.232,0.508,0.152,-0.137,-0.136,0.033,-1.02,-5.86,-164.02
6.962902785,-0.235,0.505,0.153,-0.139,-0.134,0.031,-1.06,-5.61,-163.93
6.982933522,-0.236,0.501,0.155,-0.138,-0.132,0.033,-1,-5.23,-163.21
7.002994299,-0.237,0.496,0.157,-0.132,-0.134,0.039,-0.95,-4.81,-162.53
7.022888422,-0.238,0.491,0.159,-0.117,-0.138,0.046,-0.95,-4.18,-161.88
7.042829275,-0.239,0.487,0.161,-0.106,-0.141,0.048,-1,-3.39,-161.18
7.062884569,-0.239,0.481,0.164,-0.103,-0.141,0.039,-1.03,-2.53,-160.48
7.083005667,-0.239,0.475,0.166,-0.105,-0.138,0.032,-0.97,-1.8,-159.75
7.103131533,-0.239,0.47,0.169,-0.102,-0.136,0.035,-0.84,-1.09,-159.06
7.122986555,-0.24,0.466,0.171,-0.096,-0.141,0.047,-0.79,-0.45,-158.54
7.142893791,-0.24,0.461,0.173,-0.084,-0.149,0.05,-0.77,0.1,-158.12
7.162881851,-0.241,0.456,0.175,-0.073,-0.162,0.048,-0.82,0.58,-157.75
7.182851792,-0.241,0.452,0.176,-0.064,-0.172,0.044,-0.92,0.94,-157.52
7.202950955,-0.242,0.447,0.178,-0.059,-0.178,0.044,-1.05,1.18,-157.39
7.222924948,-0.243,0.444,0.179,-0.059,-0.18,0.047,-1.16,1.23,-157.36
7.242937327,-0.244,0.44,0.18,-0.059,-0.18,0.05,-1.23,1.06,-157.37
7.262804985,-0.245,0.436,0.181,-0.055,-0.177,0.049,-1.28,0.81,-157.45
7.282812596,-0.247,0.434,0.182,-0.06,-0.178,0.051,-1.34,0.29,-157.56
