Time,X,Y,Z,Vx,Vy,Vz,r,p,y,rx,ry,rz,Ux,Uy,Uz
6.015643119,0.451,-0.014,0.331,-1.098,0.022,0.008,-0.59,0.24,-0.15,1.6,-1.2,0.3,-1.5,1.5,0.4433000000000004,
6.025475978,0.451,-0.014,0.331,-1.098,0.022,0.008,-0.59,0.24,-0.15,1.6,-1.2,0.3,0.8043,-0.8301999999999999,-0.021700000000000018,
6.03582263,0.44,-0.014,0.331,-1.098,0.023,0.011,-0.58,0.01,-0.16,1.6,-1.2,0.3,0.6469999999999982,-0.8301999999999999,-0.021700000000000018,
6.045920372,0.429,-0.014,0.331,-1.098,0.024,0.015,-0.55,-0.3,-0.18,1.6,-1.2,0.3,0.6547000000000015,-0.8301999999999999,-0.021700000000000018,
6.055735826,0.408,-0.013,0.332,-1.096,0.025,0.021,-0.46,-1.23,-0.21,1.6,-1.2,0.3,0.5193999999999981,-0.8158999999999983,-0.007400000000000004,
6.06576848,0.397,-0.013,0.332,-1.094,0.026,0.019,-0.41,-1.92,-0.2,1.6,-1.2,0.3,0.6771000000000015,-0.8309,-0.022400000000000017,
6.075764417,0.389,-0.012,0.33,-1.067,0.031,0.0,-0.38,-2.98,-0.14,1.6,-1.2,0.3,0.7276999999999999,-0.8166000000000015,-0.051000000000000045,
6.085636377,0.379,-0.012,0.33,-1.062,0.032,0.002,-0.29,-4.13,-0.09,1.6,-1.2,0.3,0.7046999999999999,-0.8315999999999999,-0.02100000000000002,
6.095947027,0.369,-0.011,0.329,-1.053,0.034,0.001,-0.18,-5.51,0.02,1.6,-1.2,0.3,0.7116999999999999,-0.8172999999999984,-0.035300000000000026,
6.105901479,0.358,-0.011,0.329,-1.043,0.034,0.005,-0.04,-7.06,0.09,1.6,-1.2,0.3,0.7044000000000015,-0.8323,-0.020300000000000016,
6.115663051,0.359,-0.011,0.329,-1.043,0.034,0.003,-0.04,-7.07,0.15,1.6,-1.2,0.3,0.8836999999999984,-0.8323,-0.020300000000000016,
6.125857591,0.345,-0.01,0.332,-1.036,0.037,0.025,0.1,-8.65,0.17,1.6,-1.2,0.3,0.6684999999999999,-0.8180000000000016,0.022600000000000023,
6.135939121,0.334,-0.01,0.332,-1.021,0.037,0.028,0.28,-10.27,0.28,1.6,-1.2,0.3,0.7212000000000015,-0.833,-0.022400000000000017,
6.145714521,0.323,-0.008,0.334,-1.007,0.04,0.045,0.46,-11.75,0.34,1.6,-1.2,0.3,0.7288999999999982,-0.8043999999999999,0.006200000000000008,
6.155712366,0.313,-0.008,0.334,-0.985,0.039,0.054,0.68,-13.07,0.48,1.6,-1.2,0.3,0.7508999999999999,-0.8343999999999999,-0.02380000000000002,
6.165785551,0.303,-0.007,0.336,-0.962,0.041,0.069,0.88,-14.14,0.58,1.6,-1.2,0.3,0.7578999999999999,-0.8200999999999983,0.004800000000000006,
6.175695181,0.293,-0.007,0.336,-0.935,0.039,0.077,1.11,-14.97,0.72,1.6,-1.2,0.3,0.7648999999999999,-0.8351,-0.02520000000000002,
6.185680151,0.284,-0.006,0.337,-0.908,0.039,0.08,1.31,-15.56,0.85,1.6,-1.2,0.3,0.7862000000000016,-0.8208000000000015,-0.010900000000000007,
6.195725917,0.275,-0.006,0.338,-0.883,0.037,0.073,1.52,-15.93,1.02,1.6,-1.2,0.3,0.7924999999999983,-0.8357999999999999,-0.01160000000000001,
6.205670595,0.266,-0.006,0.339,-0.857,0.035,0.063,1.72,-16.13,1.16,1.6,-1.2,0.3,0.7988000000000015,-0.8357999999999999,-0.012300000000000009,
6.215669393,0.258,-0.005,0.34,-0.831,0.033,0.056,1.88,-16.22,1.29,1.6,-1.2,0.3,0.8193999999999999,-0.8214999999999983,-0.013000000000000008,
6.225699424,0.25,-0.005,0.34,-0.804,0.031,0.05,2.01,-16.26,1.4,1.6,-1.2,0.3,0.8249999999999998,-0.8365,-0.02800000000000002,
6.235902309,0.242,-0.005,0.341,-0.776,0.028,0.046,2.11,-16.31,1.5,1.6,-1.2,0.3,0.8305999999999999,-0.8365,-0.01370000000000001,
6.245792865,0.235,-0.004,0.34,-0.742,0.026,0.038,2.17,-16.48,1.56,1.6,-1.2,0.3,0.8504999999999984,-0.8222000000000016,-0.04300000000000004,
6.256135702,0.228,-0.007,0.34,-0.644,0.002,0.028,2.38,-17.33,1.82,1.6,-1.2,0.3,0.8554000000000016,-0.8800999999999983,-0.02800000000000002,
6.265589237,0.228,-0.007,0.34,-0.644,0.002,0.028,2.38,-17.33,1.82,1.6,-1.2,0.3,0.9604,-0.8351,-0.02800000000000002,
6.275940418,0.216,-0.007,0.34,-0.579,-0.001,0.023,2.42,-18.32,2.06,1.6,-1.2,0.3,0.7887999999999998,-0.8351,-0.02800000000000002,
6.28563857,0.216,-0.007,0.34,-0.579,-0.001,0.023,2.42,-18.32,2.06,1.6,-1.2,0.3,0.9688,-0.8351,-0.02800000000000002,
6.295795917,0.205,-0.007,0.34,-0.51,-0.006,0.03,2.5,-19.41,2.32,1.6,-1.2,0.3,0.8115000000000014,-0.8351,-0.02800000000000002,
6.305938005,0.205,-0.007,0.34,-0.51,-0.006,0.03,2.5,-19.41,2.32,1.6,-1.2,0.3,0.9764999999999999,-0.8351,-0.02800000000000002,
6.31562829,0.196,-0.007,0.341,-0.44,-0.013,0.031,2.67,-20.27,2.6,1.6,-1.2,0.3,0.8477999999999982,-0.8351,-0.01370000000000001,
6.325925827,0.193,-0.008,0.341,-0.445,-0.019,0.032,2.71,-20.23,2.58,1.6,-1.2,0.3,0.9399000000000016,-0.8494000000000016,-0.028700000000000024,
6.336099863,0.186,-0.009,0.341,-0.373,-0.027,0.022,2.89,-20.68,2.87,1.6,-1.2,0.3,0.8847999999999983,-0.8486999999999983,-0.028700000000000024,
6.345716238,0.186,-0.009,0.341,-0.373,-0.027,0.022,2.89,-20.68,2.87,1.6,-1.2,0.3,0.9898,-0.8337,-0.028700000000000024,
6.356292724,0.179,-0.009,0.342,-0.3,-0.034,0.02,3.05,-20.68,3.11,1.6,-1.2,0.3,0.8897000000000015,-0.8337,-0.01440000000000001,
6.365894556,0.177,-0.01,0.343,-0.302,-0.034,0.026,3.05,-20.65,3.08,1.6,-1.2,0.3,0.9661,-0.8480000000000016,-0.015100000000000013,
6.376026868,0.175,-0.01,0.343,-0.259,-0.039,0.027,3.11,-20.56,3.21,1.6,-1.2,0.3,0.9674999999999999,-0.833,-0.030100000000000026,
6.386114597,0.171,-0.011,0.344,-0.222,-0.043,0.037,3.12,-20.41,3.29,1.6,-1.2,0.3,0.9402999999999999,-0.8472999999999984,-0.015800000000000806,
6.395899772,0.17,-0.011,0.344,-0.183,-0.046,0.039,3.13,-20.29,3.4,1.6,-1.2,0.3,0.9859999999999984,-0.8323,-0.030799999999999987,
6.405813932,0.168,-0.011,0.345,-0.149,-0.05,0.034,3.09,-20.18,3.51,1.6,-1.2,0.3,0.9723999999999999,-0.8323,-0.016499999999999973,
6.416189432,0.166,-0.012,0.345,-0.119,-0.052,0.022,3.03,-20.06,3.65,1.6,-1.2,0.3,0.9738,-0.8466000000000016,-0.031499999999999986,
6.425887346,0.165,-0.012,0.345,-0.088,-0.055,0.008,2.94,-19.98,3.78,1.6,-1.2,0.3,0.9895000000000016,-0.8315999999999999,-0.031499999999999986,
6.436271667,0.164,-0.013,0.345,-0.057,-0.058,-0.002,2.82,-19.94,3.91,1.6,-1.2,0.3,0.9901999999999984,-0.8458999999999983,-0.031499999999999986,
6.445940733,0.164,-0.014,0.345,-0.024,-0.06,-0.011,2.7,-19.95,4.04,1.6,-1.2,0.3,1.0052,-0.8452000000000016,-0.031499999999999986,
