Time,X,Y,Z,Vx,Vy,Vz,r,p,y,rx,ry,rz,Ux,Uy,Uz
5.906271457,0.005,0.041,0.331,-0.025,-0.391,-0.019,-7.77,0.55,-0.67,1.6,-1.2,0.3,-1.5,1.5,0.4433000000000004,
5.916377067,0.006,0.035,0.331,-0.017,-0.385,-0.016,-7.7,0.44,-0.47,1.6,-1.2,0.3,1.1308000000000016,-0.9544999999999999,-0.021700000000000018,
5.926436901,0.005,0.031,0.331,-0.019,-0.374,-0.016,-7.67,0.4,-0.58,1.6,-1.2,0.3,1.1014999999999984,-0.9217,-0.021700000000000018,
5.936065912,0.005,0.028,0.33,-0.02,-0.361,-0.015,-7.66,0.33,-0.58,1.6,-1.2,0.3,1.1165,-0.9045999999999983,-0.03600000000000003,
5.946266412,0.005,0.024,0.33,-0.021,-0.349,-0.017,-7.64,0.27,-0.7,1.6,-1.2,0.3,1.1165,-0.9168,-0.02100000000000002,
5.9561731810000005,0.004,0.02,0.33,-0.022,-0.336,-0.015,-7.67,0.18,-0.69,1.6,-1.2,0.3,1.1022000000000016,-0.914,-0.02100000000000002,
5.966234922,0.004,0.017,0.33,-0.023,-0.323,-0.014,-7.76,0.12,-0.77,1.6,-1.2,0.3,1.1172,-0.8969000000000016,-0.02100000000000002,
5.976327896,0.004,0.014,0.33,-0.023,-0.309,-0.01,-8.02,0.03,-0.73,1.6,-1.2,0.3,1.1172,-0.8947999999999983,-0.02100000000000002,
5.986331939,0.003,0.01,0.329,-0.026,-0.296,-0.004,-8.45,-0.03,-0.75,1.6,-1.2,0.3,1.1028999999999984,-0.907,-0.035300000000000026,
5.996912718,0.003,0.008,0.329,-0.025,-0.281,0.002,-9.08,-0.1,-0.69,1.6,-1.2,0.3,1.1179000000000001,-0.8755999999999999,-0.020300000000000016,
6.006444454,0.003,0.005,0.329,-0.025,-0.264,0.011,-9.88,-0.16,-0.63,1.6,-1.2,0.3,1.1179000000000001,-0.8885000000000015,-0.020300000000000016,
6.016147136,0.004,0.001,0.33,-0.016,-0.251,0.026,-10.73,-0.28,-0.39,1.6,-1.2,0.3,1.1322000000000016,-0.9007,-0.006000000000000005,
