Time,X,Y,Z,Vx,Vy,Vz,r,p,y,rx,ry,rz,Ux,Uy,Uz
5.919535637,-0.006,0.01,0.336,-0.016,0.02,0.004,0.59,-0.69,-0.03,1.6,-1.2,0.3,-1.5,1.5,0.5148000000000005,
5.929642201,-0.006,0.011,0.336,-0.015,0.019,0.005,0.6,-0.69,-0.03,1.6,-1.2,0.3,1.1242,-0.8327000000000016,-0.02520000000000002,
5.94009018,-0.006,0.011,0.337,-0.014,0.018,0.003,0.62,-0.7,-0.02,1.6,-1.2,0.3,1.1242,-0.8476999999999999,-0.010900000000000007,
5.949574232,-0.006,0.011,0.337,-0.013,0.018,0.005,0.61,-0.7,-0.15,1.6,-1.2,0.3,1.1242,-0.8476999999999999,-0.02590000000000002,
5.9595706459999995,-0.007,0.011,0.337,-0.011,0.017,0.003,0.61,-0.71,-0.14,1.6,-1.2,0.3,1.1099000000000017,-0.8476999999999999,-0.02590000000000002,
5.969742775,-0.007,0.012,0.337,-0.01,0.017,0.006,0.6,-0.71,-0.25,1.6,-1.2,0.3,1.1249,-0.8333999999999983,-0.02590000000000002,
5.979774475,-0.007,0.012,0.337,-0.009,0.016,0.01,0.62,-0.7,-0.21,1.6,-1.2,0.3,1.1249,-0.8483999999999999,-0.02590000000000002,
5.989824057,-0.007,0.012,0.338,-0.008,0.015,0.018,0.68,-0.68,-0.15,1.6,-1.2,0.3,1.1249,-0.8483999999999999,-0.01160000000000001,
5.999963761,-0.006,0.012,0.337,-0.003,0.013,0.026,0.78,-0.66,0.08,1.6,-1.2,0.3,1.1391999999999984,-0.8483999999999999,-0.040900000000000034,
6.009459973,-0.007,0.012,0.338,-0.003,0.012,0.046,0.94,-0.6,0.04,1.6,-1.2,0.3,1.1099000000000017,-0.8483999999999999,-0.01160000000000001,
6.020066261,-0.006,0.012,0.338,-0.001,0.011,0.066,1.14,-0.54,0.28,1.6,-1.2,0.3,1.1391999999999984,-0.8483999999999999,-0.026600000000000023,
6.029396534,-0.007,0.012,0.339,0.0,0.008,0.091,1.39,-0.47,0.38,1.6,-1.2,0.3,1.1099000000000017,-0.8483999999999999,-0.012300000000000009,
6.039688111,-0.007,0.013,0.34,0.0,0.005,0.115,1.66,-0.39,0.51,1.6,-1.2,0.3,1.1249,-0.8341000000000015,-0.013000000000000008,
6.049626112,-0.006,0.013,0.342,0.001,0.002,0.129,1.94,-0.3,0.64,1.6,-1.2,0.3,1.1391999999999984,-0.8490999999999999,0.0006000000000000033,
6.059420586,-0.007,0.013,0.343,0.001,0.0,0.134,2.23,-0.17,0.95,1.6,-1.2,0.3,1.1099000000000017,-0.8490999999999999,-0.015100000000000013,
6.06979084,-0.007,0.013,0.345,0.0,-0.003,0.138,2.51,-0.02,0.96,1.6,-1.2,0.3,1.1249,-0.8490999999999999,-0.0015000000000007924,
6.079722881,-0.007,0.013,0.346,0.001,-0.007,0.137,2.77,0.14,1.11,1.6,-1.2,0.3,1.1249,-0.8490999999999999,-0.017199999999999972,
6.089645386,-0.007,0.013,0.348,0.0,-0.012,0.138,2.98,0.32,1.25,1.6,-1.2,0.3,1.1249,-0.8490999999999999,-0.0035999999999999643,
6.099573612,-0.007,0.013,0.349,0.0,-0.017,0.143,3.14,0.5,1.56,1.6,-1.2,0.3,1.1249,-0.8490999999999999,-0.019299999999999977,
6.109303713,-0.007,0.012,0.351,0.0,-0.023,0.149,3.24,0.66,1.7,1.6,-1.2,0.3,1.1249,-0.8633999999999983,-0.005699999999999962,
6.11984396,-0.007,0.012,0.352,-0.001,-0.029,0.157,3.27,0.78,1.84,1.6,-1.2,0.3,1.1249,-0.8483999999999999,-0.021399999999999975,
6.129838944,-0.007,0.012,0.355,-0.005,-0.034,0.178,3.22,0.88,1.86,1.6,-1.2,0.3,1.1249,-0.8483999999999999,0.006500000000000047,
6.139963627,-0.008,0.012,0.357,-0.006,-0.041,0.193,3.11,0.93,2.0,1.6,-1.2,0.3,1.1105999999999983,-0.8483999999999999,-0.009899999999999964,
6.14973259,-0.008,0.011,0.359,-0.008,-0.047,0.21,2.95,0.95,2.14,1.6,-1.2,0.3,1.1256,-0.8627000000000016,-0.01129999999999997,
6.159925938,-0.008,0.011,0.361,-0.01,-0.053,0.231,2.75,0.93,2.28,1.6,-1.2,0.3,1.1256,-0.8476999999999999,-0.012699999999999968,
6.169625521,-0.008,0.01,0.365,-0.015,-0.057,0.265,2.51,0.91,2.3,1.6,-1.2,0.3,1.1256,-0.8619999999999983,0.014500000000000055,
6.1793663500000005,-0.008,0.01,0.367,-0.017,-0.063,0.29,2.28,0.86,2.44,1.6,-1.2,0.3,1.1256,-0.847,-0.01689999999999997,
6.189424515,-0.009,0.009,0.37,-0.018,-0.067,0.312,2.05,0.8,2.59,1.6,-1.2,0.3,1.1113000000000015,-0.8613000000000015,-0.003999999999999962,
6.199470759,-0.008,0.009,0.373,-0.015,-0.07,0.322,1.83,0.73,2.92,1.6,-1.2,0.3,1.1405999999999983,-0.8462999999999998,-0.0060999999999999666,
6.209603071,-0.008,0.008,0.376,-0.017,-0.074,0.34,1.64,0.71,3.1,1.6,-1.2,0.3,1.1256,-0.8605999999999983,-0.008199999999999964,
6.21942997,-0.009,0.007,0.379,-0.018,-0.076,0.358,1.48,0.7,3.42,1.6,-1.2,0.3,1.1113000000000015,-0.8599000000000016,-0.010299999999999969,
6.229525089,-0.009,0.006,0.383,-0.019,-0.079,0.375,1.37,0.72,3.58,1.6,-1.2,0.3,1.1262999999999999,-0.8591999999999983,0.0019000000000000475,
6.239378214,-0.009,0.006,0.387,-0.02,-0.082,0.392,1.3,0.76,3.73,1.6,-1.2,0.3,1.1262999999999999,-0.8442,-0.0008999999999999564,
6.249752283,-0.01,0.005,0.393,-0.024,-0.082,0.424,1.23,0.81,3.74,1.6,-1.2,0.3,1.1119999999999983,-0.8585000000000015,0.02490000000000006,
6.259546995,-0.01,0.005,0.397,-0.026,-0.084,0.443,1.21,0.83,3.88,1.6,-1.2,0.3,1.127,-0.8434999999999998,-0.007899999999999963,
6.269881249,-0.011,0.004,0.403,-0.03,-0.085,0.47,1.16,0.86,3.89,1.6,-1.2,0.3,1.1127000000000016,-0.8577999999999982,0.017900000000000055,
6.279628277,-0.01,0.003,0.406,-0.029,-0.086,0.483,1.11,0.84,4.21,1.6,-1.2,0.3,1.1419999999999983,-0.8571000000000015,-0.029199999999999976,
6.289637327,-0.011,0.003,0.411,-0.03,-0.088,0.502,1.06,0.81,4.36,1.6,-1.2,0.3,1.1127000000000016,-0.8420999999999998,-0.0027000000000007573,
6.29970789,-0.011,0.002,0.416,-0.032,-0.089,0.516,0.96,0.76,4.68,1.6,-1.2,0.3,1.1277,-0.8563999999999983,-0.006199999999999928,
6.309541702,-0.011,0.001,0.421,-0.033,-0.091,0.525,0.85,0.7,4.86,1.6,-1.2,0.3,1.1277,-0.8557000000000016,-0.009699999999999931,
6.319679022,-0.011,0.0,0.426,-0.034,-0.092,0.526,0.7,0.65,5.2,1.6,-1.2,0.3,1.1277,-0.8549999999999983,-0.013199999999999934,
6.329714537,-0.013,0.0,0.433,-0.037,-0.091,0.536,0.52,0.6,5.21,1.6,-1.2,0.3,1.0991,-0.84,0.011900000000000091,
6.339878798,-0.013,0.0,0.438,-0.038,-0.092,0.537,0.34,0.55,5.37,1.6,-1.2,0.3,1.1291,-0.84,-0.02159999999999994,
6.35007596,-0.014,-0.001,0.445,-0.041,-0.091,0.544,0.15,0.51,5.39,1.6,-1.2,0.3,1.1147999999999982,-0.8542999999999984,0.0035000000000000864,
6.359486342,-0.013,-0.002,0.449,-0.038,-0.091,0.538,0.02,0.45,5.69,1.6,-1.2,0.3,1.1441000000000017,-0.8536000000000016,-0.04429999999999995,
6.369514227,-0.014,-0.003,0.456,-0.041,-0.09,0.546,-0.08,0.44,5.69,1.6,-1.2,0.3,1.1147999999999982,-0.8528999999999983,-0.004199999999999926,
6.379407644,-0.015,-0.003,0.461,-0.042,-0.09,0.549,-0.14,0.42,5.83,1.6,-1.2,0.3,1.1155000000000015,-0.8379,-0.03769999999999994,
6.389774084,-0.015,-0.004,0.467,-0.042,-0.09,0.553,-0.15,0.4,5.97,1.6,-1.2,0.3,1.1304999999999998,-0.8522000000000016,-0.026899999999999938,
6.399675608,-0.015,-0.005,0.471,-0.04,-0.088,0.55,-0.15,0.35,6.25,1.6,-1.2,0.3,1.1304999999999998,-0.8514999999999984,-0.059700000000000766,
